Author;PaperID;Citations;Year
0061bd;e8c054;0;2016
0061bd;a581ff;0;2016
0061bd;3ab2fe;0;2016
0061bd;35bff5;1;2016
0061bd;d2e34e;0;2016
0061bd;94603b;0;2016
0061bd;361ee5;0;2016
0061bd;3cf27e;0;2016
0061bd;16e552;3;2016
0061bd;4f3dbc;0;2016
0061bd;e9f406;1;2016
0061bd;b5c182;3;2016
0061bd;3a5db0;0;2016
0061bd;95e85e;1;2016
0061bd;0a9738;0;2016
0061bd;6d4fe7;0;2016
0061bd;adc251;4;2016
0061bd;bbd86d;3;2015
0061bd;80a06a;1;2015
0061bd;16fa4e;2;2015
0061bd;0c6c9f;2;2015
0061bd;81e71d;9;2015
0061bd;e7ace8;0;2015
0061bd;02d438;2;2015
0061bd;ad40d2;2;2015
0061bd;e712e9;0;2015
0061bd;934895;2;2015
0061bd;1a17d4;0;2015
0061bd;96f00b;0;2015
0061bd;ba2d87;2;2015
0061bd;c05cdc;5;2015
0061bd;37952d;2;2015
0061bd;ffaa16;2;2015
0061bd;631a39;11;2015
0061bd;ac6ede;3;2015
0061bd;69a050;1;2015
0061bd;d99f64;4;2015
0061bd;1b8b24;5;2015
0061bd;07c2aa;7;2015
0061bd;9a788b;1;2015
0061bd;1f32ff;5;2015
0061bd;7589bd;0;2015
0061bd;ab1a65;3;2015
0061bd;ee4fe6;0;2015
0061bd;8ca859;1;2015
0061bd;2a1919;3;2015
0061bd;092b26;3;2015
0061bd;03860b;2;2015
0061bd;09868f;7;2015
0061bd;3d3ddb;8;2015
0061bd;64ae8c;4;2015
0061bd;85af4f;9;2014
0061bd;b134af;12;2014
0061bd;aeb8c1;2;2014
0061bd;bce954;0;2014
0061bd;489fda;4;2014
0061bd;808ebf;6;2014
0061bd;17cfc2;2;2014
0061bd;51fa6a;5;2014
0061bd;9fd573;6;2014
0061bd;fa09d6;7;2014
0061bd;fcbb6e;6;2014
0061bd;5cded6;7;2014
0061bd;e343a1;5;2014
0061bd;db829c;3;2014
0061bd;ba70af;11;2014
0061bd;ce6624;4;2014
0061bd;788ab8;4;2014
0061bd;0bb9ef;5;2014
0061bd;3935d5;1;2014
0061bd;256a23;4;2014
0061bd;ba7798;7;2014
0061bd;946892;3;2014
0061bd;a7dba2;14;2014
0061bd;ad0c1b;0;2014
0061bd;65208b;11;2014
0061bd;310f45;2;2014
0061bd;08c5a6;1;2014
0061bd;3298e9;2;2014
0061bd;4066d2;1;2014
0061bd;d441f3;1;2014
0061bd;c125cd;4;2014
0061bd;79ea47;6;2014
0061bd;55d6e3;2;2013
0061bd;a87693;7;2013
0061bd;b5515e;37;2013
0061bd;ec2987;8;2013
0061bd;343735;9;2013
0061bd;233209;2;2013
0061bd;804513;31;2013
0061bd;daea1e;5;2013
0061bd;eda4a2;7;2013
0061bd;7a72e5;23;2013
0061bd;ef7ca2;8;2013
0061bd;a63055;0;2013
0061bd;86284c;0;2013
0061bd;afce33;21;2013
0061bd;f18821;10;2013
0061bd;b19cb2;40;2013
0061bd;1fc5c9;13;2013
0061bd;13e8c9;39;2013
0061bd;1d1525;5;2013
0061bd;e05540;0;2013
0061bd;f3f872;15;2013
0061bd;4205ff;10;2013
0061bd;112dea;57;2013
0061bd;2308ce;5;2013
0061bd;9550a6;5;2013
0061bd;027a38;7;2013
0061bd;c560b7;37;2013
0061bd;4d5a9a;13;2013
0061bd;b4fed2;15;2013
0061bd;beabb7;5;2013
0061bd;99833e;4;2012
0061bd;e639ff;19;2012
0061bd;d2b885;27;2012
0061bd;958b76;7;2012
0061bd;370095;7;2012
0061bd;7eaa7e;6;2012
0061bd;06afa9;22;2012
0061bd;3d670b;11;2012
0061bd;d5a890;37;2012
0061bd;2476f1;9;2012
0061bd;bc96dd;19;2012
0061bd;c8d535;16;2012
0061bd;c263c2;8;2012
0061bd;19df20;6;2012
0061bd;0d7a64;9;2012
0061bd;6dbc51;3;2012
0061bd;d867ce;16;2012
0061bd;c3c9fe;1;2012
0061bd;06ecb9;11;2012
0061bd;3bf1c6;2;2012
0061bd;d0f69d;22;2012
0061bd;daca25;9;2012
0061bd;58d1f2;10;2012
0061bd;40d169;45;2012
0061bd;314a39;10;2012
0061bd;6fe9be;4;2012
0061bd;b93cf4;15;2012
0061bd;83bb43;12;2011
0061bd;7dafae;28;2011
0061bd;381d67;13;2011
0061bd;cf65aa;12;2011
