Author;PaperID;Citations;Year
0aa920;6a407b;5;1998
0aa920;af997a;0;1997
0aa920;e8f0bf;0;1997
0aa920;8f95ec;0;1997
0aa920;4d8fae;1;1996
0aa920;e67a52;7;1995
0aa920;edefdc;29;1995
0aa920;310c7e;14;1995
0aa920;d61188;34;1995
0aa920;642da2;12;1994
0aa920;4ea091;89;1994
0aa920;0c234f;11;1993
0aa920;6c21ed;35;1993
0aa920;44899e;33;1993
0aa920;7ced23;43;1992
0aa920;d7850a;12;1991
0aa920;54e8bf;29;1991
0aa920;953dcd;28;1991
0aa920;c046b9;42;1991
0aa920;f12ff9;125;1990
0aa920;c7b297;27;1990
0aa920;6ce477;24;1989
0aa920;2d1c26;25;1989
0aa920;734281;81;1988
0aa920;dca947;33;1987
0aa920;967779;32;1987
0aa920;33728b;1;1986
0aa920;07922e;14;1986
0aa920;b3e6b7;124;1986
0aa920;838fdc;24;1986
0aa920;63e806;7;1986
0aa920;943ca7;286;1986
0aa920;2d1099;19;1985
0aa920;353e4c;15;1985
0aa920;c0f73c;63;1985
0aa920;ef900c;122;1985
0aa920;8c2534;65;1984
0aa920;38af39;34;1984
0aa920;e46b62;27;1983
0aa920;8904b5;38;1982
0aa920;b13339;52;1982
0aa920;795e9e;16;1982
0aa920;37d615;39;1981
0aa920;439c6a;4;1981
0aa920;4206eb;81;1980
0aa920;b2d3c0;27;1979
0aa920;0933ac;7;1979
0aa920;2c5336;67;1979
0aa920;74c523;29;1977
0aa920;b7ce57;135;1977
0aa920;0147b9;98;1976
0aa920;8c3690;12;1972
