Author;PaperID;Citations;Year
15ac9b;4369dd;4;2002
15ac9b;4b5ef6;16;1996
15ac9b;2dea3e;4;1995
15ac9b;91c1d5;29;1995
15ac9b;44d477;5;1995
15ac9b;e2958e;8;1994
15ac9b;6dd062;54;1993
15ac9b;d00ca4;113;1993
15ac9b;62d86a;118;1992
15ac9b;86d630;27;1992
15ac9b;2b5ae1;82;1992
15ac9b;36ea75;36;1991
15ac9b;f7ad75;4;1991
15ac9b;cbbbfd;42;1990
15ac9b;5c5e56;8;1990
15ac9b;7c5597;11;1990
15ac9b;737be3;4;1990
15ac9b;97d3ee;12;1989
15ac9b;41bd49;14;1989
15ac9b;6d8714;3;1988
15ac9b;e824ab;10;1988
15ac9b;20dc38;18;1987
15ac9b;f91000;32;1987
15ac9b;123f31;1;1987
15ac9b;e778d1;7;1985
15ac9b;6db520;94;1985
15ac9b;383ea9;16;1984
15ac9b;e8f0e4;2;1984
15ac9b;c7089b;0;1984
15ac9b;4eaebd;32;1984
15ac9b;212405;0;1984
15ac9b;6d6235;4;1984
15ac9b;40c297;12;1984
15ac9b;1a1cd7;97;1983
15ac9b;2a7fee;11;1983
15ac9b;269db7;1;1982
15ac9b;ea995e;36;1982
15ac9b;2a992b;8;1982
15ac9b;1d0be1;22;1982
15ac9b;e9125a;8;1982
15ac9b;0d1455;33;1981
15ac9b;2e7d54;47;1981
15ac9b;325c11;23;1981
15ac9b;54c5bc;124;1980
15ac9b;5e9bb6;8;1980
15ac9b;c20228;11;1980
15ac9b;c5d2ab;18;1980
15ac9b;5d16bc;524;1980
15ac9b;a7e52d;6;1979
15ac9b;e3d349;1;1979
15ac9b;a9fd01;76;1979
15ac9b;d51194;7;1979
15ac9b;b89606;7;1979
15ac9b;ff2245;56;1979
15ac9b;53b49d;16;1979
15ac9b;b1fae5;24;1979
15ac9b;ae1812;3;1978
15ac9b;f45e6d;10;1978
15ac9b;9bb0f2;34;1978
15ac9b;0be02a;8;1978
15ac9b;747172;13;1978
15ac9b;cacab6;23;1978
15ac9b;6aad7d;0;1978
15ac9b;709195;2;1978
15ac9b;9dd176;0;1978
15ac9b;33d03a;2;1978
15ac9b;ce4b65;0;1978
15ac9b;9457ad;1;1978
15ac9b;f94171;8;1977
15ac9b;c7f8bc;22;1977
15ac9b;936a83;4;1977
15ac9b;c43093;1;1977
15ac9b;6abb59;8;1977
15ac9b;4c869f;8;1977
15ac9b;04f5a0;53;1976
15ac9b;8db435;1;1976
15ac9b;dc4c28;13;1976
15ac9b;341f42;12;1976
15ac9b;fe90a0;67;1976
15ac9b;420e69;1;1976
15ac9b;85251d;7;1976
15ac9b;c9911e;8;1976
15ac9b;cdf9f5;5;1976
15ac9b;607793;4;1976
15ac9b;343881;6;1976
15ac9b;295a9d;33;1976
15ac9b;5dc891;18;1976
15ac9b;2db74d;23;1976
15ac9b;1aa45d;10;1975
15ac9b;b50e89;0;1975
15ac9b;b17ba7;24;1975
15ac9b;fb9f7d;0;1975
15ac9b;5b63d8;11;1975
15ac9b;8d860c;0;1975
15ac9b;f4cdf0;0;1975
15ac9b;9f4860;24;1975
15ac9b;c55577;13;1975
15ac9b;b7b08d;10;1975
15ac9b;d6bbce;29;1975
15ac9b;857e39;19;1975
15ac9b;be0d2f;35;1975
15ac9b;5606cd;33;1974
15ac9b;948acf;6;1974
15ac9b;9ace09;22;1974
15ac9b;d07d7e;97;1974
15ac9b;248425;0;1974
15ac9b;08f029;15;1974
15ac9b;5f67d0;10;1973
15ac9b;cd5ca5;0;1973
15ac9b;a00c1c;0;1973
15ac9b;94d929;0;1973
15ac9b;d17f5e;32;1973
15ac9b;1d72b4;6;1973
15ac9b;8097df;29;1973
15ac9b;08034e;68;1973
15ac9b;b58ce8;2;1972
15ac9b;bbd565;51;1972
15ac9b;57ea7a;8;1972
15ac9b;16a834;0;1971
15ac9b;a12a77;32;1971
15ac9b;2eb4f9;21;1971
15ac9b;b32a8b;5;1971
15ac9b;a7c389;38;1971
15ac9b;50a791;93;1971
15ac9b;8b406f;0;1971
15ac9b;9e7c52;18;1971
15ac9b;aca086;5;1970
15ac9b;565583;59;1970
15ac9b;1a274e;27;1970
15ac9b;f7c714;2;1969
15ac9b;f72b88;34;1969
15ac9b;45a11d;14;1968
15ac9b;887cf6;101;1968
15ac9b;c4623a;172;1968
15ac9b;8fcd1d;56;1968
15ac9b;f3ee4f;82;1967
15ac9b;da01c4;71;1967
15ac9b;2ae1ee;123;1966
15ac9b;d0754e;18;1966
15ac9b;fa2c9c;1;1966
15ac9b;b3d88b;7;1966
15ac9b;bbfc7b;7;1965
15ac9b;47f514;2;1965
15ac9b;ec022b;7;1965
15ac9b;0a0ec3;3;1964
15ac9b;536511;23;1964
15ac9b;51ddf9;3;1964
15ac9b;5401af;3;1963
15ac9b;05a251;2;1963
15ac9b;de246e;3;1963
15ac9b;2fed10;19;1962
15ac9b;827d77;27;1962
15ac9b;198d21;5;1962
15ac9b;6b29c5;8;1961
15ac9b;b6e368;26;1961
15ac9b;1d27d5;6;1961
15ac9b;2140b7;1;1961
15ac9b;6277f5;15;1961
15ac9b;82e0e3;0;1960
15ac9b;9ce333;9;1960
15ac9b;4fa644;6;1960
15ac9b;d3f58d;13;1960
15ac9b;6661e3;7;1960
15ac9b;50714c;3;1960
15ac9b;f9fb15;3;1959
15ac9b;dec158;32;1959
15ac9b;3aae11;82;1957
15ac9b;7806cb;9;1957
15ac9b;8560a0;4;1957
15ac9b;adc393;10;1957
15ac9b;d92fee;14;1957
15ac9b;f8ec88;30;1957
15ac9b;c5de44;16;1957
15ac9b;05b9fa;42;1956
15ac9b;be4e3c;32;1956
15ac9b;29d85c;0;1955
