Author;PaperID;Citations;Year
1a1422;e3d5ba;0;2016
1a1422;1b90b1;0;2014
1a1422;6285ea;1;2014
1a1422;288779;0;2014
1a1422;0ef2d6;1;2012
1a1422;13678d;1;2011
1a1422;37a001;43;2011
1a1422;feb6ac;7;2011
1a1422;fdfc0d;8;2010
1a1422;a2f36c;35;2010
1a1422;3b3e8f;2;2010
1a1422;750e0f;17;2010
1a1422;4758e3;1;2010
1a1422;ee96b3;1;2009
1a1422;edc3ac;49;2009
1a1422;5278b3;13;2008
1a1422;3e52e0;23;2007
1a1422;d6d910;0;2007
1a1422;a26654;5;2006
1a1422;f3aeda;0;2006
1a1422;472320;2;2006
1a1422;707fa4;0;2005
1a1422;fa382c;5;2004
1a1422;e6dccb;10;2004
1a1422;a2abfc;26;2003
1a1422;055ff6;5;2002
1a1422;cf42e6;13;2002
1a1422;184070;15;2002
1a1422;8cdce1;3;2002
1a1422;397f08;215;2001
1a1422;31cce4;15;2001
1a1422;91d74b;1;2001
1a1422;9a444b;15;2001
1a1422;977ccb;37;2001
1a1422;9e61d6;14;2001
1a1422;207e1e;4;2000
1a1422;47d5a5;21;2000
1a1422;2dd7ac;17;2000
1a1422;e9225f;85;1999
1a1422;29e4c7;10;1998
1a1422;297498;43;1998
1a1422;f4dba6;12;1998
1a1422;f5f555;2;1997
1a1422;719203;28;1997
1a1422;6a5cbc;48;1994
1a1422;6c5d86;7;1994
1a1422;630143;37;1994
1a1422;366157;22;1994
1a1422;d3f6c1;8;1994
1a1422;aa621d;16;1994
1a1422;edf99d;66;1993
1a1422;ad6651;114;1993
1a1422;a8314f;24;1993
1a1422;9b9d20;35;1993
1a1422;95b9bd;15;1993
1a1422;82377b;21;1992
1a1422;79c433;59;1992
1a1422;6e550d;45;1991
1a1422;10c86f;0;1991
1a1422;fdd17b;279;1990
1a1422;0c5f5e;4;1990
1a1422;658a23;5;1990
1a1422;2ab815;42;1989
1a1422;7352aa;103;1989
1a1422;7d3218;11;1988
1a1422;328194;5;1988
1a1422;a054e7;220;1988
1a1422;8b1680;1;1988
1a1422;414852;4;1988
1a1422;feeb98;59;1988
1a1422;03965c;0;1988
1a1422;90a725;13;1987
1a1422;29c74d;9;1987
1a1422;17e5a1;0;1987
1a1422;b409c4;8;1986
1a1422;e2c30b;30;1986
1a1422;b00445;5;1986
1a1422;e8f87a;16;1985
1a1422;52ac62;48;1985
1a1422;4f76fe;19;1984
1a1422;cc4667;12;1984
1a1422;b8a324;28;1984
1a1422;750f93;0;1984
1a1422;b98b82;0;1984
1a1422;b687c2;7;1983
1a1422;969b36;20;1983
1a1422;e56352;8;1983
1a1422;944c31;16;1983
1a1422;0e91ab;15;1983
1a1422;b45e59;20;1983
1a1422;b59973;6;1982
1a1422;459fba;26;1982
1a1422;0c87e8;56;1982
1a1422;4f27cc;13;1981
1a1422;d6549f;2;1980
1a1422;cca6db;34;1980
1a1422;f447d9;146;1980
1a1422;5035d0;40;1980
1a1422;7dbc10;40;1979
1a1422;87bdbd;85;1979
1a1422;fc0ee3;14;1977
1a1422;434283;29;1977
1a1422;cb8dff;15;1976
1a1422;1bc12a;38;1976
1a1422;b754ff;50;1976
1a1422;1a5772;33;1976
1a1422;71a815;24;1975
1a1422;e30c4e;0;1973
1a1422;2d85f6;37;1973
1a1422;92acad;2;1973
1a1422;f9590a;0;1973
1a1422;de0559;11;1969
1a1422;0a600e;1;1969
1a1422;19c093;2;1968
1a1422;e40906;5;1967
1a1422;bb93e9;120;1967
1a1422;44213a;5;1965
1a1422;1b94ef;0;1900
