Author;PaperID;Citations;Year
1fb937;d769d2;64;1993
1fb937;84424b;62;1990
1fb937;d8e800;64;1990
1fb937;7ca4f2;160;1989
1fb937;d805c3;37;1989
1fb937;785a88;177;1988
1fb937;395fdc;46;1987
1fb937;1fdcbf;205;1985
1fb937;315fed;90;1984
1fb937;d093b1;398;1984
1fb937;159233;0;1983
1fb937;8a1f50;0;1982
1fb937;93a6c9;343;1982
1fb937;be818f;3;1981
1fb937;ae4cf7;114;1978
1fb937;5ec04d;826;1978
1fb937;2d6798;3;1978
1fb937;5441fc;74;1977
1fb937;1bf806;287;1977
1fb937;aaa3a3;24;1976
1fb937;78c090;432;1976
1fb937;c0ef80;355;1975
1fb937;24ca03;8;1975
1fb937;888e17;26;1974
1fb937;7b4c01;44;1973
1fb937;23bc22;365;1973
1fb937;2bdf62;103;1973
1fb937;8b4808;36;1972
1fb937;a70f6d;16;1971
1fb937;a7c2c1;97;1970
1fb937;b97266;146;1969
1fb937;df7aa1;164;1969
1fb937;f77a97;81;1969
1fb937;2a76f9;96;1968
1fb937;7a3e8f;0;1967
1fb937;c69072;76;1966
1fb937;f9539c;142;1966
1fb937;618f71;32;1966
1fb937;fa39d3;1;1966
1fb937;e69061;16;1965
1fb937;564b83;27;1964
1fb937;121d0a;486;1964
1fb937;9da493;12;1963
1fb937;8d2aac;36;1962
1fb937;cbfa6d;33;1962
1fb937;6d8998;29;1962
1fb937;a2de03;58;1962
1fb937;b148bd;155;1961
1fb937;b7830d;26;1961
1fb937;e37c07;158;1961
1fb937;d04369;39;1961
1fb937;c6663e;14;1961
1fb937;2b3396;4;1960
1fb937;8bb329;53;1959
1fb937;e6d7bf;332;1957
1fb937;4d0efd;336;1957
1fb937;27d3b5;33;1955
1fb937;32ee66;1;1952
1fb937;995a96;2;2015
1fb937;84df95;17;2014
1fb937;b32cf2;8;2013
1fb937;27ad8e;0;2011
1fb937;0e4ea3;0;2010
1fb937;cba0e9;4;2008
1fb937;63ca06;2;2005
1fb937;780ab4;19;2005
1fb937;30b5dc;3;2004
1fb937;9da6ff;25;2002
1fb937;e53185;95;2002
1fb937;a32084;2;2001
1fb937;535cd2;106;2001
1fb937;22e753;3;1997
1fb937;5b595a;7;1995
1fb937;447bb1;6;1995
1fb937;2bdf62;103;1973
1fb937;995a96;2;2015
1fb937;84df95;17;2014
1fb937;b32cf2;8;2013
1fb937;27ad8e;0;2011
1fb937;0e4ea3;0;2010
1fb937;cba0e9;4;2008
1fb937;63ca06;2;2005
1fb937;780ab4;19;2005
1fb937;30b5dc;3;2004
1fb937;9da6ff;25;2002
1fb937;e53185;95;2002
1fb937;a32084;2;2001
1fb937;535cd2;106;2001
1fb937;22e753;3;1997
1fb937;5b595a;7;1995
1fb937;447bb1;6;1995
1fb937;2bdf62;103;1973
