Author;PaperID;Citations;Year
2dbc6a;251169;1;2016
2dbc6a;8b1b12;13;2015
2dbc6a;b8e1cd;8;2015
2dbc6a;2c328c;24;2013
2dbc6a;0dc77d;59;2013
2dbc6a;e822ce;69;2013
2dbc6a;9879f0;63;2012
2dbc6a;27a91f;31;2011
2dbc6a;eb7649;14;2011
2dbc6a;1e08a2;105;2011
2dbc6a;c23cfd;58;2011
2dbc6a;4e80c6;8;2011
2dbc6a;dbccfc;10;2010
2dbc6a;df21a5;18;2010
2dbc6a;cc3633;2;2009
2dbc6a;dbc837;15;2009
2dbc6a;fb7c4d;43;2008
2dbc6a;1d62d4;21;2008
2dbc6a;1240b5;2;2008
2dbc6a;b55980;145;2007
2dbc6a;f63b20;4;2006
2dbc6a;be85a0;67;2006
2dbc6a;e17852;10;2004
2dbc6a;6bccf7;19;2003
2dbc6a;297c70;75;2003
2dbc6a;905f9a;27;2002
2dbc6a;c08e23;169;2002
2dbc6a;76b7cb;24;2002
2dbc6a;f1c741;283;2001
2dbc6a;68807a;135;2001
2dbc6a;fc1979;170;2001
2dbc6a;7411a1;75;1999
2dbc6a;b5c31f;36;1999
2dbc6a;c9ca8d;133;1999
2dbc6a;ea2dae;45;1999
2dbc6a;65daec;73;1998
2dbc6a;a506cc;148;1998
2dbc6a;3bc332;90;1997
2dbc6a;d0a66f;7;1997
2dbc6a;aa42f5;10;1996
2dbc6a;1b5039;97;1996
2dbc6a;16261f;38;1996
2dbc6a;30ff3b;50;1995
2dbc6a;cf3b93;291;1995
2dbc6a;bd18f1;37;1994
2dbc6a;fce883;123;1994
2dbc6a;ccb833;28;1992
2dbc6a;e09f35;27;1991
2dbc6a;451806;85;1990
2dbc6a;de9e63;25;1988
2dbc6a;23be9b;30;1988
2dbc6a;057b40;80;1988
2dbc6a;b43b1f;27;1987
2dbc6a;24abad;29;1986
2dbc6a;f44876;69;1986
2dbc6a;16736a;29;1982
