Author;PaperID;Citations;Year
4d90c1;9eedfb;0;2016
4d90c1;028dde;1;2015
4d90c1;e7afa0;0;2015
4d90c1;bd57a8;3;2015
4d90c1;6a110f;6;2013
4d90c1;37218f;4;2013
4d90c1;5401c5;6;2013
4d90c1;7df856;11;2013
4d90c1;96fcf6;4;2012
4d90c1;ae3ba9;15;2011
4d90c1;67bcb5;28;2010
4d90c1;1ccf0a;13;2010
4d90c1;d991e8;0;2010
4d90c1;46afc4;21;2009
4d90c1;b7c506;2;2008
4d90c1;adfe3c;11;2006
4d90c1;14790e;21;2006
4d90c1;9e26e5;10;2005
4d90c1;3eb4f5;2;2004
4d90c1;3bd687;14;2003
4d90c1;0e0b35;40;2002
4d90c1;10714a;2;2002
4d90c1;c25bf9;4;2001
4d90c1;8d2a1b;87;2000
4d90c1;6f0011;27;2000
4d90c1;2265a0;330;1999
4d90c1;1dfadd;209;1997
4d90c1;f4b548;12;1997
4d90c1;e8715d;6;1996
4d90c1;dbe87b;149;1996
4d90c1;ed57fe;21;1995
4d90c1;9a1ce6;9;1995
4d90c1;9e5bb9;51;1994
4d90c1;939d4b;5;1992
4d90c1;b8ceab;8;1992
4d90c1;298931;30;1991
4d90c1;c22404;4;1990
4d90c1;7c7d1b;86;1989
4d90c1;232cb9;5;1987
4d90c1;d65b02;131;1986
4d90c1;425bd9;11;1986
4d90c1;61425b;7;1985
4d90c1;fa19c1;177;1984
4d90c1;78cfdc;12;1983
4d90c1;0a4123;0;1982
4d90c1;37873b;1;1982
4d90c1;2309c3;360;1982
4d90c1;1dedd4;1;1981
4d90c1;0c57b7;1;1980
4d90c1;cedf67;9;1973
4d90c1;26a89a;36;1971
4d90c1;bfc38f;15;1970
4d90c1;bc55ff;15;1969
4d90c1;44d781;10;1968
4d90c1;c26789;6;1968
