Author;PaperID;Citations;Year
59a69f;c5dc1f;70;2005
59a69f;e84dea;187;2003
59a69f;1fcb40;34;2003
59a69f;b5534e;110;2002
59a69f;186335;548;2002
59a69f;5df62c;24;2002
59a69f;73925c;152;2001
59a69f;b5e65b;52;2000
59a69f;ac0d9c;43;2000
59a69f;8c48d0;80;2000
59a69f;9a419c;412;2000
59a69f;451fbf;107;2000
59a69f;7d786d;8;2000
59a69f;f4146f;2;1999
59a69f;baffea;141;1999
59a69f;5bcf44;95;1999
59a69f;1a263d;106;1999
59a69f;68b606;222;1999
59a69f;f54caa;78;1997
59a69f;0c924e;0;1994
59a69f;add37b;444;1993
59a69f;c47aed;81;1993
59a69f;b871e8;12;1993
59a69f;501410;77;1992
59a69f;b5e01f;54;1992
59a69f;56e7fa;66;1992
59a69f;d2ea73;79;1992
59a69f;f207fc;36;1992
59a69f;b00eb8;104;1991
59a69f;83f10c;239;1990
59a69f;2b8944;190;1989
59a69f;9ca864;26;1989
59a69f;13f806;1;1989
59a69f;9464e5;0;1988
59a69f;dffd45;9;1988
59a69f;934237;43;1987
59a69f;7ee11e;6;1987
59a69f;5c1914;317;1987
59a69f;6dff21;12;1987
59a69f;bc8cb1;14;1987
59a69f;4d94e1;470;1987
59a69f;802e84;7;1987
59a69f;d759d0;373;1986
59a69f;bb4410;60;1986
59a69f;89ba90;19;1986
59a69f;9c9063;32;1986
59a69f;19c602;166;1986
59a69f;eeebb2;15;1986
59a69f;cd3589;79;1986
59a69f;a6d3bc;38;1986
59a69f;47158e;9429;1986
59a69f;5fe654;171;1986
59a69f;baa1b7;121;1985
59a69f;cad1fb;51;1985
59a69f;b64369;105;1985
59a69f;27ab68;27;1985
59a69f;b9b58a;321;1985
59a69f;00549a;50;1985
59a69f;756e99;58;1985
59a69f;089c60;290;1985
59a69f;d9e992;47;1984
59a69f;94a84b;186;1984
59a69f;30c22e;75;1984
59a69f;7262ed;1;1983
59a69f;275dee;3;1983
59a69f;7b8e61;240;1983
59a69f;47dab1;8;1983
59a69f;c21fcf;413;1983
59a69f;b82397;18;1983
59a69f;614b9e;1249;1983
59a69f;a118b2;939;1982
59a69f;9c8c53;42;1982
59a69f;170dc4;34;1981
59a69f;3f8f52;176;1980
59a69f;88ef17;0;1978
59a69f;aca694;4;1978
59a69f;641261;3;1977
59a69f;400b8a;14;1974
