Author;PaperID;Citations;Year
662fcf;6ed6d6;0;2010
662fcf;06f01c;29;2004
662fcf;a1417b;47;2003
662fcf;70f1b3;26;2003
662fcf;d9617e;23;2002
662fcf;be1772;8;2002
662fcf;dc5990;97;2002
662fcf;225525;59;2001
662fcf;062642;36;2001
662fcf;7bfc68;38;2001
662fcf;27530a;49;2000
662fcf;668ffb;82;2000
662fcf;c738bb;150;1996
662fcf;6a3297;58;1996
662fcf;d5b234;42;1996
662fcf;1e1244;42;1995
662fcf;5d0b96;48;1993
662fcf;489119;27;1992
662fcf;5a3741;10;1991
662fcf;6e3c62;36;1990
662fcf;57797a;27;1989
662fcf;f81fc1;181;1989
662fcf;de5e2c;197;1988
662fcf;e0c942;229;1988
662fcf;3a98e2;222;1988
662fcf;23a4f1;52;1988
662fcf;7159b5;69;1987
662fcf;07923f;442;1987
662fcf;ce6cc9;155;1987
662fcf;38d44b;653;1987
662fcf;02d5ea;10;1986
662fcf;e30004;80;1986
662fcf;40b326;245;1986
662fcf;aafa19;26;1986
662fcf;ac47e9;131;1986
662fcf;2b8355;126;1985
662fcf;86e18c;21;1985
662fcf;f98cc0;68;1985
662fcf;427295;17;1985
662fcf;fc11b1;33;1984
662fcf;71bbfc;118;1984
662fcf;b8738e;81;1984
662fcf;d11edf;0;1984
662fcf;d6786e;13;1982
662fcf;38d44f;64;1982
662fcf;e74691;26;1982
662fcf;70b0bb;26;1981
662fcf;d56485;40;1979
662fcf;7dff8f;219;1978
662fcf;3356f2;3;1978
662fcf;9bf24e;32;1977
662fcf;80573e;13;1976
662fcf;006142;67;1976
662fcf;001894;0;1975
662fcf;f3f417;126;1975
662fcf;c21de1;11;1975
662fcf;333c82;302;1975
662fcf;503de7;103;1974
662fcf;d33294;42;1973
662fcf;0ce263;28;1973
662fcf;196d84;71;1972
662fcf;32fce3;46;1971
662fcf;03362f;160;1971
662fcf;8f7111;66;1969
662fcf;327992;33;1968
662fcf;957c31;36;1967
662fcf;522d91;36;1966
662fcf;4d7965;16;1965
662fcf;c00f3d;10;1964
662fcf;55b472;12;1964
662fcf;b3ae5d;13;1964
662fcf;d5891a;275;1963
662fcf;217e9d;33;1963
662fcf;9d7004;197;1961
662fcf;77de0c;6;1960
662fcf;f96dea;98;1960
662fcf;416874;13;1960
662fcf;448259;601;1959
662fcf;40d1c7;23;1959
662fcf;b5c32c;199;1959
662fcf;d5aab7;36;1959
662fcf;8cee31;10;1959
662fcf;dc986e;21;1958
662fcf;db6f7f;7;1958
662fcf;154850;464;1955
662fcf;393afb;2;1955
