Author;PaperID;Citations;Year
6a621a;4935d3;0;2016
6a621a;06611a;0;2016
6a621a;d69f19;0;2016
6a621a;80c6a5;1;2016
6a621a;40a345;1;2016
6a621a;fb1fd3;0;2016
6a621a;bd5f3e;3;2015
6a621a;3da32d;0;2015
6a621a;85ff61;12;2015
6a621a;403b03;2;2015
6a621a;181f86;10;2015
6a621a;d4c8ff;6;2015
6a621a;a5a176;4;2015
6a621a;ce418f;10;2015
6a621a;9a5f9b;9;2014
6a621a;ec953e;3;2014
6a621a;a5d813;14;2014
6a621a;905b24;10;2014
6a621a;19a603;15;2014
6a621a;682c7d;32;2014
6a621a;8d244b;8;2014
6a621a;321525;10;2014
6a621a;1e112e;8;2014
6a621a;a80821;22;2014
6a621a;a79c18;48;2014
6a621a;add684;53;2014
6a621a;791137;1;2014
6a621a;adf3bf;12;2014
6a621a;7b6f03;18;2014
6a621a;d184ce;39;2014
6a621a;c51277;29;2014
6a621a;f1dbe6;70;2014
6a621a;dbd311;11;2013
6a621a;fe00be;27;2013
6a621a;59d61f;7;2013
6a621a;42a4a1;12;2013
6a621a;2d983f;5;2013
6a621a;0e1773;86;2013
6a621a;84e039;19;2013
6a621a;5742a2;6;2013
6a621a;a32da2;5;2013
6a621a;fa7eb9;4;2013
6a621a;909277;30;2013
6a621a;336113;40;2013
6a621a;065278;44;2013
6a621a;005d19;11;2013
6a621a;fd59e2;22;2013
6a621a;020115;14;2013
6a621a;74d88c;29;2013
6a621a;5c1512;28;2013
6a621a;135af9;4;2012
6a621a;44680c;2;2012
6a621a;4c5d5d;25;2012
6a621a;71ac31;23;2012
6a621a;d5b726;57;2012
6a621a;6245b0;3;2012
6a621a;9512a1;15;2012
6a621a;e460d9;12;2012
6a621a;89135c;50;2012
6a621a;73c1f6;70;2012
6a621a;b1e096;62;2012
6a621a;dd8678;20;2012
6a621a;983439;14;2012
6a621a;c8f85f;14;2012
6a621a;3055c5;30;2012
6a621a;6bd1ff;27;2012
6a621a;93c9da;6;2012
6a621a;16d8e2;34;2012
6a621a;1888fe;50;2012
6a621a;ebe70f;14;2012
6a621a;f8493a;13;2012
6a621a;d61e8d;41;2011
6a621a;9c9398;10;2011
6a621a;4c3187;4;2011
6a621a;260764;12;2011
6a621a;a5169e;6;2011
6a621a;9fc11c;154;2011
6a621a;0d50a7;17;2011
6a621a;6c1cce;11;2011
6a621a;d75f18;13;2011
6a621a;a17f5b;50;2011
6a621a;d9ef1e;47;2011
6a621a;03104e;67;2011
6a621a;e02508;18;2011
6a621a;87e7b2;85;2011
6a621a;88ed06;3;2011
6a621a;dd707f;21;2011
6a621a;bbb2b6;14;2011
6a621a;a89b32;0;2011
6a621a;94ec76;8;2011
6a621a;523826;49;2010
6a621a;5eed0f;163;2010
6a621a;d75915;20;2010
6a621a;c1bcbd;8;2010
6a621a;deb0f9;2;2010
6a621a;1ade70;26;2010
6a621a;29b12b;38;2010
6a621a;6bf568;38;2010
6a621a;79b225;49;2010
6a621a;19edd3;29;2010
6a621a;e69efd;184;2010
6a621a;111338;48;2010
6a621a;63ee50;209;2009
6a621a;0c3bba;267;2009
6a621a;e4f2d2;31;2009
6a621a;7dda80;30;2009
6a621a;f7c9fb;0;2009
6a621a;a23f83;420;2009
6a621a;bb14b2;18;2009
6a621a;a8bd1f;41;2009
6a621a;8bb0e0;41;2009
6a621a;40ec78;369;2009
6a621a;aa0b12;57;2009
6a621a;44a4b2;269;2009
6a621a;500131;62;2008
6a621a;4ac58e;11;2008
6a621a;983cc7;33;2008
6a621a;1c74c4;43;2008
6a621a;53f7ed;337;2008
6a621a;19f45e;12;2007
6a621a;172e7f;44;2007
6a621a;ab89b9;51;2007
6a621a;2a0c12;36;2007
6a621a;05bbc5;27;2007
6a621a;277321;54;2007
6a621a;762aba;3;2007
6a621a;084976;3;2007
6a621a;fd756e;28;2007
6a621a;2f896a;52;2007
6a621a;3126af;63;2007
6a621a;105265;57;2007
6a621a;da3a39;278;2006
6a621a;62f7bc;90;2006
6a621a;db7d2f;332;2006
6a621a;ba0ef8;49;2006
6a621a;763b64;9;2006
6a621a;ad0848;23;2006
6a621a;24fd35;135;2006
6a621a;6c4f68;458;2006
6a621a;fb139a;32;2006
6a621a;f2898a;544;2006
6a621a;81620d;113;2006
6a621a;64b1b6;38;2006
6a621a;adaf31;38;2006
6a621a;afc32a;29;2006
6a621a;3c7f9a;49;2005
6a621a;afe1b6;256;2005
6a621a;54f44c;21;2005
6a621a;70a0e7;35;2005
6a621a;6bb7db;30;2005
6a621a;9b8247;57;2005
6a621a;c8611a;60;2005
6a621a;54f888;27;2005
6a621a;28616f;1;2005
6a621a;e7325f;206;2005
6a621a;1311dd;373;2005
6a621a;0628f9;93;2005
6a621a;72bb57;8;2005
6a621a;43786f;13;2005
6a621a;937e8f;62;2005
6a621a;2508f4;17;2005
6a621a;6d27a0;2;2005
6a621a;ef1598;56;2005
6a621a;d3ce8d;32;2005
6a621a;9b0a77;0;2005
6a621a;ad43b1;109;2005
6a621a;fd9175;289;2005
6a621a;4ea4f2;45;2005
6a621a;9eea42;16;2005
6a621a;21be96;13;2005
6a621a;01245d;12;2004
6a621a;2137e9;16;2004
6a621a;fe7944;35;2004
6a621a;db8fa7;57;2004
6a621a;358558;0;2004
6a621a;74ee8c;10;2004
6a621a;10feb8;90;2004
6a621a;c53678;8;2004
6a621a;f87fa1;66;2004
6a621a;73c415;26;2004
6a621a;98cd0a;28;2004
6a621a;a5618d;136;2004
6a621a;160775;17;2004
6a621a;7b34d5;54;2004
6a621a;b2910f;171;2004
6a621a;121ea8;43;2004
6a621a;2f9621;4;2004
6a621a;9c412a;44;2003
6a621a;d7e8cf;8;2003
6a621a;5fd7ec;82;2003
6a621a;c5c7cd;75;2003
6a621a;3060f5;17;2003
6a621a;1bdca2;23;2003
6a621a;66be22;44;2003
6a621a;5d867e;35;2003
6a621a;24e8a2;45;2003
6a621a;1f54b5;7;2003
6a621a;8b423a;883;2003
6a621a;8b161c;62;2003
6a621a;a54a76;35;2003
6a621a;73e484;53;2003
6a621a;a9fc14;7;2003
6a621a;aaa9e3;33;2003
6a621a;33293e;22;2002
6a621a;9ece36;64;2002
6a621a;f15e13;36;2002
6a621a;69e74c;18;2002
6a621a;f9dced;4;2002
6a621a;1c6815;69;2001
6a621a;69e369;45;2001
6a621a;4f771b;40;2001
6a621a;39c209;17;2001
6a621a;9d2ac4;54;2001
6a621a;06ccd5;32;2001
6a621a;b5b422;6;2001
6a621a;93c75e;219;2001
6a621a;20f649;15;2001
6a621a;26f54a;88;2001
6a621a;4e92b8;61;2001
6a621a;9ef138;35;2001
6a621a;5721f7;77;2001
6a621a;d043b6;17;2000
6a621a;0c5127;242;2000
6a621a;fa6a52;1;2000
6a621a;b1a870;29;2000
6a621a;5850fd;14;2000
6a621a;c96e10;27;2000
6a621a;bf0fd9;78;2000
6a621a;101e5b;4;2000
6a621a;c4f3bc;33;2000
6a621a;35c91e;25;2000
6a621a;536b96;8;2000
6a621a;fc8915;86;2000
6a621a;d9da64;12;2000
6a621a;711e83;23;2000
6a621a;94194d;46;2000
6a621a;e85e9f;22;2000
6a621a;a9e9b5;9;2000
6a621a;8ad8df;19;1999
6a621a;5821df;56;1999
6a621a;3c7dcf;26;1999
6a621a;d3f3e3;140;1999
6a621a;1bdc22;17;1999
6a621a;a9e835;42;1999
6a621a;3a640e;66;1999
6a621a;e6794b;0;1999
6a621a;77e84d;83;1999
6a621a;bc0e04;28;1999
6a621a;4d6734;80;1999
6a621a;dc35ad;51;1999
6a621a;82d83f;40;1999
6a621a;efc6e2;4;1999
6a621a;ecd9ac;2;1999
6a621a;325a22;21;1999
6a621a;94ac2d;10;1999
6a621a;52675d;6;1999
6a621a;fd7721;5;1999
6a621a;941d94;94;1999
6a621a;c26cd8;29;1999
6a621a;89c565;3;1999
6a621a;c20584;142;1999
6a621a;3f4a6f;6;1999
6a621a;a9a8df;38;1999
6a621a;cffbe2;22;1999
6a621a;130d47;372;1999
6a621a;c143fc;13;1999
6a621a;ebb050;17;1999
6a621a;0d250c;66;1999
6a621a;58fece;5;1999
6a621a;4516bc;105;1999
6a621a;3aea5b;11;1999
6a621a;4e0c7f;34;1999
6a621a;bc19cd;198;1999
6a621a;66540a;42;1999
6a621a;574eaa;107;1999
6a621a;b0602c;0;1999
6a621a;defc14;411;1998
6a621a;712caa;1093;1998
6a621a;0c1136;1;1998
6a621a;3473f9;0;1998
6a621a;55ddcd;2;1998
6a621a;f5b9ee;15;1998
6a621a;1f21bc;50;1998
6a621a;740b53;648;1998
6a621a;dc3588;19;1998
6a621a;8a22cd;75;1998
6a621a;97064b;28;1998
6a621a;58a095;4;1998
6a621a;0a1daa;35;1998
6a621a;a0c5d0;60;1998
6a621a;d2f29c;90;1998
6a621a;951224;0;1997
6a621a;242e28;0;1997
6a621a;15ebd3;0;1997
6a621a;af8541;13;1997
6a621a;00d64c;0;1997
6a621a;65ea70;131;1997
6a621a;5e6995;69;1997
6a621a;8557e0;18;1997
6a621a;2e37fa;678;1997
6a621a;5730b1;12;1997
6a621a;09b1c3;17;1997
6a621a;c26e54;9;1997
6a621a;405b4b;27;1997
6a621a;0a98f4;2;1997
6a621a;2be1cc;7;1997
6a621a;d56649;8;1997
6a621a;89d42b;3;1997
6a621a;ad5792;45;1997
6a621a;b69cdc;11;1997
6a621a;207a59;33;1997
6a621a;0a3bb1;5;1996
6a621a;021a85;2;1996
6a621a;a76b68;4;1996
6a621a;2d4004;19;1996
6a621a;eca17c;7;1996
6a621a;651723;4;1996
6a621a;ab108b;133;1996
6a621a;9b5dee;8;1996
6a621a;b3859a;90;1996
6a621a;06a8be;57;1996
6a621a;8ab1dd;57;1996
6a621a;b5f170;3;1996
6a621a;65b04d;26;1996
6a621a;343688;91;1996
6a621a;0c37d3;265;1996
6a621a;50f812;9;1996
6a621a;721553;32;1996
6a621a;ed8adc;21;1996
6a621a;f6a209;21;1996
6a621a;8c56b0;36;1995
6a621a;e0fea3;15;1995
6a621a;c90906;33;1995
6a621a;158763;5;1995
6a621a;4e3b9f;2;1995
6a621a;b51bdc;1;1995
6a621a;0697c1;3;1995
6a621a;74e636;3;1995
6a621a;c004c5;2;1995
6a621a;3c4fc1;2;1995
6a621a;f39642;2;1995
6a621a;33489d;20;1995
6a621a;b3feed;4;1995
6a621a;31f3f9;53;1995
6a621a;e19a62;190;1995
6a621a;c4912e;1;1995
6a621a;bbc252;1;1995
6a621a;d209d1;22;1994
6a621a;272f18;8;1994
6a621a;3bc8ab;5;1994
6a621a;ab38c9;101;1994
6a621a;d4500d;435;1994
6a621a;9834f3;35;1994
6a621a;b521cd;10;1994
6a621a;28e964;18;1994
6a621a;7b8a0f;37;1994
6a621a;551901;19;1994
6a621a;81db5c;385;1994
6a621a;33b1dd;40;1994
6a621a;bcb8b8;231;1994
6a621a;2e46e2;114;1994
6a621a;e91073;37;1994
6a621a;46dc69;23;1994
6a621a;106d0f;91;1994
6a621a;2071b2;18;1994
6a621a;7eb010;18;1994
6a621a;83011e;79;1993
6a621a;1b85e9;124;1993
6a621a;a5a5a2;29;1993
6a621a;1885b1;952;1993
6a621a;989c05;1326;1993
6a621a;49922d;63;1993
6a621a;ab844b;463;1992
6a621a;12943c;8;1992
6a621a;cc8490;57;1991
6a621a;0d3859;9;1986
6a621a;2a017b;0;1986
