Author;PaperID;Citations;Year
6bc0dd;07cb2e;0;2005
6bc0dd;a37a5a;0;2005
6bc0dd;db650d;35;2003
6bc0dd;0554a4;49;2001
6bc0dd;3c74a9;15;2000
6bc0dd;123d93;68;1998
6bc0dd;5dfc89;67;1998
6bc0dd;b2ee8f;141;1997
6bc0dd;259628;13;1996
6bc0dd;a70143;20;1996
6bc0dd;19733d;69;1996
6bc0dd;f5b51b;5;1995
6bc0dd;c5c690;41;1995
6bc0dd;cfc04b;1;1995
6bc0dd;d96dbe;146;1994
6bc0dd;780d5a;24;1993
6bc0dd;c18672;33;1993
6bc0dd;87a2b5;24;1992
6bc0dd;bcbd6d;14;1992
6bc0dd;0b5851;62;1992
6bc0dd;05d709;65;1992
6bc0dd;46bba3;0;1991
6bc0dd;0da42d;14;1991
6bc0dd;cfca12;169;1991
6bc0dd;f3e90a;31;1990
6bc0dd;20721c;1;1990
6bc0dd;beeac5;4;1989
6bc0dd;f58bde;28;1989
6bc0dd;a64303;32;1989
6bc0dd;55ed90;16;1989
6bc0dd;139307;41;1989
6bc0dd;c0a74e;16;1989
6bc0dd;c11bdd;41;1988
6bc0dd;13506c;80;1987
6bc0dd;088678;2;1987
6bc0dd;e0847b;134;1987
6bc0dd;5b092c;24;1987
6bc0dd;012972;0;1987
6bc0dd;c4a242;5;1987
6bc0dd;e120f2;27;1987
6bc0dd;6be9e9;12;1986
6bc0dd;eb9a8b;13;1986
6bc0dd;e3bcfc;59;1986
6bc0dd;90f7a4;125;1985
6bc0dd;1d2ec1;5;1984
6bc0dd;94928b;11;1984
6bc0dd;f8beda;58;1984
6bc0dd;340b3c;11;1984
6bc0dd;2fb251;54;1984
6bc0dd;aa64df;32;1984
6bc0dd;bdb5dc;1353;1984
6bc0dd;965b32;23;1983
6bc0dd;b93500;15;1983
6bc0dd;4b7c04;24;1983
6bc0dd;245e82;12;1983
6bc0dd;44f2a7;8;1982
6bc0dd;80efb5;1;1982
6bc0dd;fb2657;143;1982
6bc0dd;60f7f3;31;1982
6bc0dd;b853c4;10;1982
6bc0dd;fb5420;112;1981
6bc0dd;3a7a5e;11;1981
6bc0dd;581453;27;1981
6bc0dd;30223b;55;1980
6bc0dd;e2c698;11;1980
6bc0dd;207765;20;1979
6bc0dd;c76b5b;84;1979
6bc0dd;6d2238;13;1979
6bc0dd;6b1810;84;1979
6bc0dd;ac811c;128;1979
6bc0dd;9c58e7;31;1979
6bc0dd;6b9bea;6;1978
6bc0dd;506365;0;1978
6bc0dd;708737;18;1978
6bc0dd;b41281;0;1978
6bc0dd;dd695b;9;1978
6bc0dd;9d367b;15;1978
6bc0dd;8405c6;55;1977
6bc0dd;29de20;78;1977
6bc0dd;bacfc5;45;1977
6bc0dd;9e1a90;6;1977
6bc0dd;1a391b;81;1977
6bc0dd;64898f;5;1977
6bc0dd;505aa1;18;1977
6bc0dd;5bd871;91;1977
6bc0dd;878381;72;1977
6bc0dd;d34d7f;35;1977
6bc0dd;cee989;10;1977
6bc0dd;f5500d;0;1977
6bc0dd;a9ddfc;11;1976
6bc0dd;0e5983;20;1976
6bc0dd;a7f426;64;1976
6bc0dd;33f4ed;31;1976
6bc0dd;46ee50;4;1976
6bc0dd;01f232;0;1975
6bc0dd;7b963d;161;1975
6bc0dd;10db57;47;1974
6bc0dd;7b84ca;53;1974
6bc0dd;2a94e0;23;1974
6bc0dd;942991;221;1974
6bc0dd;0a129f;37;1974
6bc0dd;e07047;0;1974
6bc0dd;4f6b8f;0;1973
6bc0dd;f53794;8;1973
6bc0dd;6996e6;29;1973
6bc0dd;708d79;55;1973
6bc0dd;1f56d5;79;1973
6bc0dd;1ed9e6;10;1973
6bc0dd;a166ad;53;1972
6bc0dd;97cca6;20;1972
6bc0dd;928759;54;1972
6bc0dd;5b9cd8;0;1972
6bc0dd;25a6b2;28;1972
6bc0dd;d66eeb;78;1972
6bc0dd;f24386;14;1972
6bc0dd;1d90b3;128;1971
6bc0dd;7fb6b3;36;1971
6bc0dd;2ea10b;90;1971
6bc0dd;b6a4ed;81;1971
6bc0dd;8bfa38;29;1971
6bc0dd;cba278;27;1970
6bc0dd;e0cae7;79;1969
6bc0dd;41b9ff;114;1969
6bc0dd;422cce;830;1969
6bc0dd;3139b3;444;1969
6bc0dd;6afdec;242;1969
6bc0dd;feaa21;216;1969
6bc0dd;0a5d1d;32;1967
6bc0dd;e250e0;40;1967
6bc0dd;ede0cf;74;1965
6bc0dd;524239;38;1963
6bc0dd;f4ae30;10;1960
6bc0dd;9d367b;15;1978
