Author;PaperID;Citations;Year
6e21a8;75694c;27;2000
6e21a8;19fee5;8;1998
6e21a8;2a9e85;18;1990
6e21a8;cb60fb;75;1989
6e21a8;7ade5d;29;1989
6e21a8;145c08;38;1984
6e21a8;ac9a25;13;1984
6e21a8;52fd4e;225;1984
6e21a8;422d3d;123;1981
6e21a8;73a146;21;1981
6e21a8;6479ef;119;1980
6e21a8;bc96ac;101;1980
6e21a8;e12ed1;61;1980
6e21a8;618023;874;1979
6e21a8;2bd103;1441;1979
6e21a8;fd0b7e;122;1977
6e21a8;0f4f1f;563;1977
6e21a8;6f5b17;132;1975
6e21a8;f9e80a;19;1972
6e21a8;7c1e61;2708;1972
6e21a8;f8f2bc;2;1972
6e21a8;f6bd42;56;1970
6e21a8;12c9a9;707;1970
6e21a8;9ee2b3;34;1969
6e21a8;44ef87;118;1968
6e21a8;86322c;3;1967
6e21a8;74e410;8;1967
6e21a8;3ef440;1;1967
6e21a8;786843;18;1966
6e21a8;a731b4;33;1965
6e21a8;d2812f;0;1965
6e21a8;edc93d;1;1965
6e21a8;96bbe8;19;1965
6e21a8;7a0205;0;1964
6e21a8;bec94e;3;1964
6e21a8;6ba9c0;10;1963
6e21a8;4de8e9;18;1963
6e21a8;1b94ef;0;1900
