Author;PaperID;Citations;Year
7252b3;b23775;0;2015
7252b3;eb62d6;17;2014
7252b3;b477e5;12;2013
7252b3;fc0194;10;2012
7252b3;fde5bd;12;2011
7252b3;60f159;51;2011
7252b3;fc3f47;14;2010
7252b3;bfc4ca;6;2010
7252b3;b0514b;56;2010
7252b3;b5117e;24;2009
7252b3;1a53e7;0;2008
7252b3;3f6921;28;2006
7252b3;0ace57;67;2006
7252b3;290352;57;2004
7252b3;738722;67;2004
7252b3;b4d6ce;85;2003
7252b3;d03661;1;2002
7252b3;e736a9;19;2002
7252b3;ccf0a7;80;2002
7252b3;b79cc0;378;2002
7252b3;cc51ad;81;2002
7252b3;c71bc9;18;2002
7252b3;2eac5e;51;2002
7252b3;a0f712;88;2002
7252b3;f60267;20;2001
7252b3;d565cc;29;2001
7252b3;e81f55;103;2000
7252b3;a2f32c;31;2000
7252b3;d1543f;31;1999
7252b3;4f43b5;42;1999
7252b3;97c184;40;1999
7252b3;0add48;1;1999
7252b3;d9f555;101;1999
7252b3;150db2;62;1999
7252b3;e5d8b6;45;1999
7252b3;809912;53;1999
7252b3;b4264d;27;1999
7252b3;86eb4b;107;1998
7252b3;e34455;34;1998
7252b3;3f0c8e;60;1998
7252b3;a03317;36;1998
7252b3;52802f;40;1998
7252b3;5fa5eb;38;1998
7252b3;fc1c74;105;1998
7252b3;87af84;44;1998
7252b3;56a39a;0;1997
7252b3;9fa39f;62;1997
7252b3;200e9a;6;1997
7252b3;579fc0;139;1997
7252b3;afb9f2;452;1997
7252b3;6bce08;67;1997
7252b3;269f86;38;1997
7252b3;c0c7a9;213;1996
7252b3;2eb1be;233;1996
7252b3;e0e549;673;1996
7252b3;c6fc1d;69;1996
7252b3;60c648;15;1996
7252b3;6e896e;50;1996
7252b3;344d8a;42;1996
7252b3;fffff9;52;1995
7252b3;20d9d9;45;1995
7252b3;9ff981;135;1995
7252b3;229afe;83;1995
7252b3;f3f754;128;1995
7252b3;8d2d66;86;1995
7252b3;700a19;258;1995
7252b3;70eb68;147;1995
7252b3;698148;96;1995
7252b3;1a5a25;245;1995
7252b3;270539;82;1994
7252b3;3792f2;81;1994
7252b3;c02287;81;1994
7252b3;da99e5;30;1994
7252b3;611969;31;1994
7252b3;d85b24;475;1994
7252b3;ff0e3e;110;1994
7252b3;7d047e;152;1994
7252b3;11a110;171;1993
7252b3;491a3b;18;1993
7252b3;cc18cc;89;1993
7252b3;45072f;189;1993
7252b3;78c434;79;1993
7252b3;4b3048;267;1993
7252b3;5354e2;169;1993
7252b3;acf5d4;0;1993
7252b3;931807;203;1993
7252b3;ded935;107;1993
7252b3;9543b8;99;1993
7252b3;cb8065;55;1992
7252b3;63b272;50;1992
7252b3;87aadf;66;1992
7252b3;09f1b8;88;1992
7252b3;bfbae9;102;1991
7252b3;2e5c44;5;1991
7252b3;8e68f7;117;1991
7252b3;d5edd5;227;1991
7252b3;6c8404;35;1991
7252b3;ed1aee;15;1991
7252b3;4408ee;53;1991
7252b3;6c8bd3;272;1991
7252b3;343ee0;26;1991
7252b3;ece309;396;1991
7252b3;e5e568;910;1990
7252b3;43dbaf;330;1990
7252b3;c62f87;147;1990
7252b3;2c7b61;553;1990
7252b3;e33caf;32;1990
7252b3;d18d66;86;1990
7252b3;cb4759;80;1989
7252b3;e4d0a6;34;1989
7252b3;62d9d2;118;1989
7252b3;0a3df0;553;1989
7252b3;b8f3d1;125;1989
7252b3;843fff;84;1989
7252b3;e856d8;386;1988
7252b3;fae00f;645;1987
7252b3;1c70e9;387;1987
7252b3;89064e;20;1987
7252b3;60a602;646;1986
7252b3;be1541;55;1986
7252b3;8e29c3;37;1986
7252b3;789066;0;1986
7252b3;b9066f;48;1986
7252b3;8cfa2d;22;1986
7252b3;da34e2;209;1985
7252b3;9230a6;15;1985
7252b3;5842fd;5;1984
7252b3;99991c;116;1984
7252b3;1fe615;12;1984
7252b3;c144e5;29;1983
7252b3;a38820;12;1983
7252b3;c38093;156;1983
7252b3;432a79;247;1983
7252b3;8a9244;26;1983
7252b3;b91a6f;12;1983
7252b3;417ff7;24;1983
7252b3;2a3f8f;176;1983
7252b3;a7574a;13;1983
7252b3;b7a2c7;56;1982
7252b3;12d3f7;28;1982
7252b3;db0fbc;30;1982
7252b3;52c37b;169;1982
7252b3;516ce1;310;1981
7252b3;fbf401;37;1981
7252b3;31b214;31;1981
7252b3;0d8dfe;405;1980
7252b3;8b5b6d;48;1980
7252b3;c001cd;117;1979
7252b3;7e8083;17;1979
7252b3;c8eb70;83;1979
7252b3;206b13;12;1979
7252b3;9e7197;41;1979
7252b3;80eb06;173;1978
7252b3;401dd3;41;1978
7252b3;9fa303;76;1978
7252b3;6eb014;37;1978
7252b3;357991;31;1977
7252b3;1e2e9b;10;1977
7252b3;6c91c4;39;1977
7252b3;5d7a02;97;1976
7252b3;f8f4c0;63;1976
7252b3;260392;36;1976
7252b3;73e545;3;1975
7252b3;81a235;31;1975
7252b3;5f2d7d;14;1975
7252b3;10d6f7;29;1975
7252b3;8dc8a0;94;1973
7252b3;60edcb;10;1972
7252b3;e3e970;23;1972
7252b3;0d39a3;38;1972
7252b3;709558;14;1972
7252b3;c0d0aa;76;1972
7252b3;c56979;1;1972
7252b3;717cf5;10;1972
7252b3;656fb8;25;1971
7252b3;491082;53;1971
7252b3;94b715;61;1970
7252b3;39030e;98;1970
7252b3;9a3710;7;1968
7252b3;6783ce;119;1968
