Author;PaperID;Citations;Year
72d1e9;b5b1ab;0;2016
72d1e9;e5206a;1;2016
72d1e9;deb22d;36;2016
72d1e9;99a426;6;2016
72d1e9;cd44e3;0;2016
72d1e9;dd3c34;2;2015
72d1e9;7e5d6d;13;2015
72d1e9;437652;720;2014
72d1e9;6e272b;81;2011
72d1e9;be958a;26;2010
72d1e9;a0cb62;113;2010
72d1e9;48eb5a;20;2010
72d1e9;5b37c5;19;2010
72d1e9;56d4bf;22;2010
72d1e9;b93480;21;2010
72d1e9;726d72;25;2010
72d1e9;6d8d09;54;2010
72d1e9;e26748;22;2010
72d1e9;3273da;35;2010
72d1e9;bab1b5;32;2010
72d1e9;2b9a20;41;2010
72d1e9;c79b50;20;2010
72d1e9;998939;83;2010
72d1e9;4ba21d;24;2010
72d1e9;263d7d;23;2010
72d1e9;66d50a;22;2010
72d1e9;ced9b1;3;2010
72d1e9;698849;21;2010
72d1e9;3f28e1;26;2010
72d1e9;72017c;41;2010
72d1e9;eb08ba;9;2010
72d1e9;586c28;39;2010
72d1e9;880c60;27;2010
72d1e9;136d63;21;2010
72d1e9;e305ac;32;2010
72d1e9;052407;20;2010
72d1e9;e1d5ce;83;2010
72d1e9;aa201b;15;2010
72d1e9;476e90;29;2010
72d1e9;aa26d2;176;2010
72d1e9;e88dd6;659;2008
72d1e9;e31dae;14;2002
72d1e9;cb3489;0;2002
72d1e9;23fa21;15;2002
72d1e9;b1c50d;37;2002
72d1e9;670c9b;1134;2002
72d1e9;1ffbc1;9;2002
72d1e9;c544dd;49;2001
72d1e9;0ab941;11;2001
72d1e9;a1fafe;42;2001
72d1e9;39993e;17;2001
72d1e9;f0be33;50;2001
72d1e9;1c887f;47;2001
72d1e9;5c8d55;34;2001
72d1e9;73862e;377;2001
72d1e9;ca90d6;1;2001
72d1e9;041d5e;2;2001
72d1e9;56a01e;113;2001
72d1e9;fc5abe;0;2000
72d1e9;157637;12;2000
72d1e9;d0348c;5;2000
72d1e9;4150c2;10;2000
72d1e9;3d15aa;4;1999
72d1e9;5de2de;47;1998
72d1e9;ac71da;17;1998
72d1e9;2677b9;33;1998
72d1e9;eeb23f;12;1998
72d1e9;3709f9;59;1998
72d1e9;5ceea3;9;1998
72d1e9;336fee;17;1998
72d1e9;7cf2fd;3;1998
72d1e9;08585c;54;1998
72d1e9;61e09d;384;1998
72d1e9;368490;3;1997
72d1e9;d8c984;53;1997
72d1e9;cd714f;40;1997
72d1e9;7ccce8;21;1997
72d1e9;2bfc4e;4;1997
72d1e9;a93e43;9;1997
72d1e9;bad0fc;29;1997
72d1e9;157ca8;20;1997
72d1e9;be098f;8;1997
72d1e9;27f94a;20;1997
72d1e9;d2ebee;10;1997
72d1e9;fb52c5;13;1997
72d1e9;09d6c2;21;1997
72d1e9;43437e;10;1997
72d1e9;467e33;25;1997
72d1e9;5e2992;25;1997
72d1e9;0cdff3;18;1997
72d1e9;4ea4f2;6;1997
72d1e9;62d8ca;18;1997
72d1e9;7752ff;10;1997
72d1e9;78a62a;28;1997
72d1e9;cd78b5;9;1997
72d1e9;ee385c;5;1997
72d1e9;5d2ade;32;1997
72d1e9;fe8046;26;1997
72d1e9;e3acdf;8;1997
72d1e9;e81acf;52;1996
72d1e9;0f1f20;36;1996
72d1e9;db5b97;123;1996
72d1e9;5bff48;12;1996
72d1e9;32f71b;18;1996
72d1e9;2b3991;11;1996
72d1e9;106463;11;1996
72d1e9;4a5ddb;0;1996
72d1e9;ddea82;33;1996
72d1e9;ee21ff;2;1996
72d1e9;f8ba1f;42;1996
72d1e9;7fab87;79;1996
72d1e9;70242d;21;1996
72d1e9;a168f5;1;1996
72d1e9;7f5c82;18;1996
72d1e9;1c122f;5;1996
72d1e9;8b72ec;84;1996
72d1e9;190306;10;1996
72d1e9;e6e02e;94;1996
72d1e9;f32cad;8;1996
72d1e9;256773;5;1996
72d1e9;492f70;69;1995
72d1e9;e958ed;14;1995
72d1e9;5f88ad;17;1995
72d1e9;d55ffb;122;1995
72d1e9;9630fc;597;1995
72d1e9;a33cd0;47;1995
72d1e9;77df6f;24;1995
72d1e9;835c1b;60;1995
72d1e9;da5dfe;72;1995
72d1e9;759fbf;17;1995
72d1e9;5ab1fd;26;1995
72d1e9;3cf930;21;1995
72d1e9;c314de;18;1995
72d1e9;878de4;15;1995
72d1e9;45e5ec;28;1995
72d1e9;ed76fe;29;1995
72d1e9;0e42ac;62;1995
72d1e9;36c9f5;13;1995
72d1e9;bea772;28;1994
72d1e9;5907a8;5;1994
72d1e9;0cb674;16;1994
72d1e9;23922f;34;1994
72d1e9;ae0ceb;60;1994
72d1e9;db0670;13;1994
72d1e9;b55be8;11;1994
72d1e9;8f5673;26;1994
72d1e9;8881d7;0;1994
72d1e9;0dbba1;32;1994
72d1e9;1edc47;24;1994
72d1e9;b6895f;29;1994
72d1e9;a7bcb8;48;1994
72d1e9;8f9221;11;1994
72d1e9;828ec6;131;1994
72d1e9;0051bc;26;1994
72d1e9;3e48ba;22;1994
