Author;PaperID;Citations;Year
775452;1a5bd8;24;2013
775452;0d0146;21;2013
775452;43a0d0;26;2012
775452;75837f;47;2012
775452;aa8098;19;2012
775452;c09403;32;2011
775452;c8e568;13;2011
775452;b4f643;8;2010
775452;e16e5e;29;2009
775452;b607db;589;2009
775452;5d6866;9;2009
775452;cec464;120;2009
775452;24f7f2;157;2008
775452;574956;78;2008
775452;000224;117;2008
775452;ef4b76;119;2007
775452;1e7ed6;28;2007
775452;94cab6;54;2006
775452;cfb4db;177;2006
775452;1216e7;460;2005
775452;7cf27c;97;2005
775452;841eb2;162;2005
775452;eda976;620;2005
775452;c1b9e2;257;2005
775452;7b32b6;402;2004
775452;e063e5;21;2004
775452;fd6bac;79;2003
775452;54ecc4;32;2003
775452;54e1d1;84;2003
775452;43b800;161;2002
775452;8206d8;285;2002
775452;e1b6ef;271;2002
775452;89a0b8;97;2002
775452;3d0e59;184;2002
775452;9265a0;152;2002
775452;44dab6;326;2002
775452;a47b0f;45;2002
775452;4fbc3a;148;2002
775452;f82ada;316;2001
775452;ca7cd1;24;2001
775452;d952f3;148;2001
775452;5d94b1;325;2000
775452;acfbd4;0;1999
775452;4bfd56;63;1999
775452;4161c1;143;1999
775452;ed2b6f;366;1999
775452;21bcd1;92;1998
775452;764ef6;328;1998
775452;2acb4a;0;1997
775452;6b2c6a;195;1997
775452;bfba19;546;1997
775452;8b0c86;405;1996
775452;35c0cc;132;1996
775452;d8f924;67;1996
775452;9e1506;156;1996
775452;f4953a;99;1996
775452;77c320;33;1995
775452;56994c;628;1995
775452;d89c57;61;1995
775452;bca99b;42;1995
775452;c16e19;37;1995
775452;bdf5cd;189;1994
775452;c7a6c5;62;1994
775452;bcc104;57;1992
775452;22c1f1;103;1992
775452;81cbb0;120;1992
775452;451071;2;1992
775452;4d1afe;50;1992
775452;b7e80f;61;1992
775452;d5c2a7;85;1992
775452;c53d14;93;1992
775452;a87ed2;221;1991
775452;3b5772;53;1990
775452;94c16b;231;1990
775452;b1a223;25;1990
775452;dab143;101;1990
775452;978695;177;1989
775452;2be604;244;1988
775452;9f4b03;0;1988
775452;080d82;262;1988
775452;b7de84;126;1988
775452;b27ce0;128;1988
775452;bc75dc;1;1988
775452;db6f2e;7;1987
775452;0d8a03;88;1987
775452;d6e6d9;55;1986
775452;b7a7c2;25;1986
775452;30edb1;22;1985
775452;4e9a57;19;1984
775452;91b11e;38;1984
775452;d7503b;37;1983
775452;423120;37;1982
775452;932952;45;1982
775452;58bdb4;51;1981
775452;b90702;56;1980
775452;eaaa00;98;1979
775452;5cb205;30;1978
775452;e1ab72;8;1977
775452;eecc48;31;1976
775452;168e8d;36;1976
775452;9a6cde;1828;1975
775452;4e7d70;23;1975
775452;47f224;3;1974
775452;1079cb;30;1973
775452;35afad;7;1972
