Author;PaperID;Citations;Year
81c352;4a28d0;0;2016
81c352;a21714;0;2016
81c352;b08342;1;2016
81c352;cdc39d;1;2016
81c352;dcb02a;0;2016
81c352;c59b9f;4;2016
81c352;e8d9d6;6;2015
81c352;cb23ba;16;2015
81c352;f6b6fd;5;2015
81c352;d8c00f;3;2015
81c352;cbaf77;0;2015
81c352;070b4a;6;2015
81c352;7c466c;11;2014
81c352;0fe7b6;11;2014
81c352;2e3c50;2;2014
81c352;d3a2a5;12;2014
81c352;3b2b75;13;2014
81c352;9615cf;2;2013
81c352;31357a;11;2013
81c352;96cf6c;7;2013
81c352;0a918e;3;2013
81c352;4dc4cc;13;2013
81c352;e4af0a;45;2013
81c352;f01f32;492;2013
81c352;6977cb;98;2013
81c352;cb1f60;30;2013
81c352;530a13;10;2013
81c352;0ff3f3;11;2013
81c352;f8dd0a;15;2012
81c352;9c6ae4;11;2012
81c352;e77298;20;2012
81c352;c1f0bb;4;2012
81c352;1be309;15;2012
81c352;4b56e2;28;2012
81c352;3f0215;13;2012
81c352;9a91d9;12;2012
81c352;590d80;7;2012
81c352;cfd86a;28;2011
81c352;ba78f0;44;2011
81c352;482733;12;2011
81c352;fe729f;27;2011
81c352;4fdfba;18;2011
81c352;1ccc6d;478;2011
81c352;3792f7;15;2011
81c352;de13a6;13;2011
81c352;7f7579;25;2011
81c352;7237f7;106;2011
81c352;29f73e;37;2011
81c352;96ec38;32;2011
81c352;6f8e0e;21;2011
81c352;dd3805;331;2011
81c352;7c7e1a;10;2011
81c352;dc51ca;13;2010
81c352;79dd69;5;2010
81c352;a0961c;53;2010
81c352;2e6be4;20;2010
81c352;2d8caa;32;2010
81c352;5de86b;138;2010
81c352;582b67;16;2009
81c352;ade7bf;67;2009
81c352;e02fb9;151;2009
81c352;b5e662;20;2009
81c352;e0e88f;18;2009
81c352;89dffb;103;2009
81c352;494727;13;2009
81c352;f1aee0;27;2009
81c352;8b34ec;8;2008
81c352;a24542;10;2008
81c352;d0dc67;66;2008
81c352;333249;62;2008
81c352;24947e;68;2008
81c352;c454ed;4;2008
81c352;77bd21;6;2008
81c352;104997;32;2008
81c352;bec4fd;14;2008
81c352;22ec02;37;2008
81c352;0df686;83;2008
81c352;388275;31;2008
81c352;3df237;34;2007
81c352;f8182b;21;2007
81c352;069d03;91;2007
81c352;613b11;55;2007
81c352;7693e4;11;2007
81c352;eb2e21;47;2007
81c352;beddd9;55;2007
81c352;1c1df1;22;2007
81c352;e0703d;13;2007
81c352;2f3718;81;2007
81c352;d35b32;57;2007
81c352;40f308;11;2007
81c352;b06410;35;2007
81c352;3b2aff;106;2007
81c352;df21a2;110;2007
81c352;df583f;21;2007
81c352;c4ba7b;51;2007
81c352;c6ab8e;38;2006
81c352;f5f642;98;2006
81c352;8be6f3;99;2006
81c352;2909a2;25;2006
81c352;cbd3f1;49;2006
81c352;c30c2f;44;2006
81c352;d7287c;12;2006
81c352;941345;67;2006
81c352;13706a;897;2005
81c352;52e5d4;316;2005
81c352;8a32c3;7;2005
81c352;093966;65;2005
81c352;8f1140;32;2005
81c352;d29132;206;2004
81c352;9a5e1d;156;2004
81c352;6eb81e;16;2004
81c352;3ddf27;178;2004
81c352;dedbe1;15;2004
81c352;d6210b;148;2004
81c352;b6d56d;113;2004
81c352;a427d9;73;2003
81c352;98aeab;7;2003
81c352;7d0e89;40;2003
81c352;fa537b;9;2003
81c352;e85a5d;9;2003
81c352;e5280c;149;2003
81c352;3820c6;59;2003
81c352;42c220;31;2003
81c352;c8466d;10;2003
81c352;06d492;26;2003
81c352;8a0da6;43;2003
81c352;bfccc9;35;2003
81c352;6cdf17;129;2003
81c352;4350d0;29;2002
81c352;bb6f83;2;2002
81c352;358396;3;2002
81c352;60ba19;32;2002
81c352;4f0c5d;56;2002
81c352;9e16d9;52;2002
81c352;146085;28;2002
81c352;d242e6;79;2002
81c352;8befe7;51;2002
81c352;c7b4a0;53;2002
81c352;685d56;49;2002
81c352;e8c61b;28;2002
81c352;853971;8;2002
81c352;9caf40;100;2001
81c352;0722e6;50;2001
81c352;d42288;75;2001
81c352;bae563;79;2001
81c352;fee424;18;2001
81c352;65c152;8;2001
81c352;9563c6;93;2001
81c352;8912ed;26;2001
81c352;d19d43;46;2001
81c352;fb3d3f;25;2001
81c352;656c68;71;2001
81c352;788775;90;2001
81c352;548c67;98;2000
81c352;9fed8d;254;2000
81c352;991894;35;2000
81c352;bc2b08;125;2000
81c352;05f5f9;12;2000
81c352;13f51b;177;2000
81c352;a3297d;95;2000
81c352;886331;42;2000
81c352;755dff;31;1999
81c352;31f81d;79;1999
81c352;255a74;45;1999
81c352;ff59cf;167;1999
81c352;68ba00;248;1999
81c352;5ab16a;99;1999
81c352;b2789a;76;1999
81c352;8ce78f;18;1999
81c352;8b247a;74;1999
81c352;691dcd;56;1999
81c352;3ad598;57;1999
81c352;8c7423;248;1999
81c352;3297ce;184;1998
81c352;0befbe;35;1998
81c352;4dc48f;87;1998
81c352;bd323f;32;1998
81c352;8e7f08;39;1998
81c352;793945;78;1998
81c352;fad08f;54;1998
81c352;52ce98;33;1998
81c352;fe20ba;18;1997
81c352;5cd9b7;49;1997
81c352;60348e;24;1997
81c352;72737a;183;1997
81c352;e84013;74;1997
81c352;3147ec;44;1997
81c352;6880f4;117;1997
81c352;f4acfc;48;1997
81c352;f369f2;8;1997
81c352;b3dd3e;189;1997
81c352;f313ca;26;1997
81c352;5995d1;53;1997
81c352;acfd42;46;1997
81c352;30f1f1;92;1997
81c352;a271cf;77;1996
81c352;dbf04c;13;1996
81c352;b68d40;25;1996
81c352;48dee1;95;1996
81c352;25a719;113;1996
81c352;b3bc34;56;1996
81c352;c33abc;143;1996
81c352;8ec79e;98;1996
81c352;0bd83b;124;1996
81c352;76664e;105;1996
81c352;83fc96;99;1996
81c352;ff562a;21;1996
81c352;a0037d;48;1996
81c352;b554b6;83;1995
81c352;5aedca;169;1995
81c352;27de2c;20;1995
81c352;855195;71;1995
81c352;f2df61;128;1995
81c352;ee62e7;109;1995
81c352;cb1ba4;30;1995
81c352;5cf3be;31;1995
81c352;20602a;81;1995
81c352;d5a4ba;150;1995
81c352;b43f6d;16;1995
81c352;c7e86c;43;1995
81c352;a31f02;716;1995
81c352;017de1;278;1995
81c352;a622a0;0;1994
81c352;98a2f3;0;1994
81c352;51160c;1;1994
81c352;9dcacb;4;1994
81c352;fada56;3;1994
81c352;dfb7be;64;1994
81c352;fe0610;36;1994
81c352;06997f;105;1994
81c352;375d98;62;1994
81c352;26fab4;229;1994
81c352;220c24;2;1994
81c352;6c7df0;62;1994
81c352;e3cef0;156;1994
81c352;916a14;62;1994
81c352;03889a;5;1994
81c352;5f85ae;14;1994
81c352;48a97d;55;1994
81c352;26ff4e;120;1994
81c352;cfc8f4;532;1994
81c352;cbdeab;1;1993
81c352;0b6a88;18;1993
81c352;276784;12;1993
81c352;5bc4d9;204;1993
81c352;136e23;81;1993
81c352;112d41;302;1993
81c352;f9fedc;11;1993
81c352;8703ba;55;1993
81c352;336bc8;96;1993
81c352;595919;8;1993
81c352;487993;356;1993
81c352;b1d669;110;1993
81c352;3d29ed;4;1993
81c352;a4664b;6;1993
81c352;4f4fd2;11;1993
81c352;716307;27;1993
81c352;717906;46;1993
81c352;fea01d;50;1993
81c352;f3c44b;5;1993
81c352;55d554;105;1992
81c352;c367a2;151;1992
81c352;aa74ca;127;1992
81c352;fa25d0;18;1992
81c352;3b5377;23;1992
81c352;92a910;5;1992
81c352;894e32;56;1992
81c352;ca79fc;58;1992
81c352;a20569;127;1992
81c352;b2b3ba;23;1991
81c352;e72982;15;1991
81c352;9e4796;191;1991
81c352;3ac217;104;1991
81c352;6b52e6;967;1991
81c352;4c1a11;57;1991
81c352;63f41c;6;1991
81c352;55551f;178;1991
81c352;80050a;232;1991
81c352;3f75e2;7;1991
81c352;19ec19;95;1991
81c352;3d5224;22;1990
81c352;d17067;359;1990
81c352;18d5d1;58;1990
81c352;35b187;44;1990
81c352;3ebf16;12;1990
81c352;e96440;20;1990
81c352;5e88d8;1;1990
81c352;6eb357;1;1990
81c352;ee245b;2;1990
81c352;5f1166;27;1990
81c352;645d0d;10;1990
81c352;5f6bb2;6;1990
81c352;1545c3;40;1990
81c352;eb3468;84;1989
81c352;c64254;16;1989
81c352;65b799;38;1989
81c352;6314d6;237;1989
81c352;f917a8;30;1989
81c352;8b2c26;332;1989
81c352;7ed9c2;22;1988
81c352;5f2e1a;74;1988
81c352;b100fe;6;1988
81c352;21d39c;14;1988
81c352;6127ec;7;1988
81c352;43ac59;54;1987
81c352;cd15b1;704;1987
81c352;3502ed;22;1987
81c352;e1bd59;57;1987
81c352;b16dd4;111;1987
81c352;a3c4ba;9;1987
81c352;4b1da3;28;1987
81c352;434a60;4;1987
81c352;72a4ff;58;1986
81c352;876609;128;1986
81c352;e7ee91;1;1986
81c352;7427ce;0;1986
81c352;2126c9;7;1986
81c352;c2fba3;44;1986
81c352;807d1a;10;1986
81c352;6b94f0;1;1986
81c352;b01010;57;1986
81c352;3fbaab;33;1986
81c352;bb5e6d;52;1986
81c352;bf4613;65;1986
81c352;fea09e;14;1986
81c352;056ac6;29;1986
81c352;de1cb7;58;1986
81c352;cf95c8;64;1986
81c352;d42811;25;1986
81c352;7f0937;29;1986
81c352;09451d;26;1986
81c352;1e4ad9;49;1985
81c352;ae553d;93;1985
81c352;ada9a6;17;1985
81c352;fbf026;0;1985
81c352;c9010c;9;1985
81c352;e5c26e;11;1985
81c352;17d6da;28;1985
81c352;56ea0f;22;1984
81c352;4862ad;22;1984
81c352;eb5e24;13;1984
81c352;4339b0;25;1984
81c352;c431ca;18;1984
81c352;e2a9b3;9;1984
81c352;fb18d4;47;1984
81c352;d4e7b6;70;1983
81c352;dbf466;10;1983
81c352;3bdb1e;65;1983
81c352;8d3f49;6;1983
81c352;5405c5;13;1983
81c352;53ff91;12;1983
81c352;61cebb;14;1983
81c352;084056;4;1983
81c352;29c3c1;167;1982
81c352;b3c6d0;301;1982
81c352;65dc70;32;1982
81c352;0f46e0;3;1982
81c352;e82bb7;13;1982
81c352;f29db2;19;1982
81c352;86962d;17;1982
81c352;08c7c9;2;1982
81c352;bac926;13;1982
81c352;30d1db;4;1982
81c352;45b64e;3;1982
81c352;16b91c;17;1982
81c352;bab6d2;1;1982
81c352;28a86a;36;1982
81c352;d3006d;228;1982
