Author;PaperID;Citations;Year
84b59a;bedd03;7;2015
84b59a;02df73;6;2013
84b59a;3f43e5;13;2012
84b59a;516a68;110;2009
84b59a;aa1e45;42;2008
84b59a;105b8b;53;2008
84b59a;300588;54;2008
84b59a;98ad96;78;2007
84b59a;26fabe;2;2007
84b59a;7a636d;70;2006
84b59a;1506f5;55;2006
84b59a;801a0d;19;2005
84b59a;779857;11;2005
84b59a;faada8;28;2005
84b59a;482b99;4;2004
84b59a;b0ca91;21;2003
84b59a;c59dac;32;2002
84b59a;69270e;61;2002
84b59a;1af243;41;2002
84b59a;c28d03;477;2001
84b59a;a294ca;134;2001
84b59a;d14b1d;17;2001
84b59a;2564d7;27;2001
84b59a;0f84ab;37;2000
84b59a;74d95e;3;2000
84b59a;a14b7a;5;2000
84b59a;a38a07;61;1999
84b59a;afd397;45;1998
84b59a;00fb85;78;1998
84b59a;c53db9;3;1998
84b59a;84f0d5;40;1997
84b59a;c54a73;5;1997
84b59a;28c7f5;18;1997
84b59a;2f19e1;37;1996
84b59a;202669;170;1996
84b59a;855a0f;77;1996
84b59a;80affe;106;1996
84b59a;b91917;118;1996
84b59a;3f4805;39;1996
84b59a;0d6275;80;1995
84b59a;0fb100;20;1995
84b59a;4e0971;19;1995
84b59a;1d992a;49;1995
84b59a;85df6a;25;1995
84b59a;15fe1d;48;1994
84b59a;08f16a;5;1994
84b59a;bc06b4;43;1993
84b59a;6dd5b5;54;1993
84b59a;e917aa;117;1993
84b59a;5c40a7;58;1993
84b59a;f0c7f5;13;1993
84b59a;cc2ad9;22;1993
84b59a;dbad70;43;1993
84b59a;debdc6;30;1993
84b59a;144f2f;14;1993
84b59a;098ea5;15;1992
84b59a;4fa751;20;1992
84b59a;911039;3;1992
84b59a;4ae1c8;19;1991
84b59a;f90b4a;95;1990
84b59a;a68065;22;1990
84b59a;6bd12f;49;1990
84b59a;ba3472;32;1990
84b59a;f69768;98;1990
84b59a;90e591;188;1990
84b59a;c92197;16;1990
84b59a;91791b;53;1990
84b59a;293852;29;1990
84b59a;0b0dd3;37;1990
84b59a;6201d4;13;1990
84b59a;c1ef1d;70;1990
84b59a;17b0f5;84;1990
84b59a;367884;71;1990
84b59a;d6c596;64;1990
84b59a;5acc55;42;1989
84b59a;dab753;79;1989
84b59a;b2a63b;0;1989
84b59a;77efc9;0;1989
84b59a;a4159f;30;1989
84b59a;5710b7;40;1989
84b59a;097747;73;1989
84b59a;51981a;0;1989
84b59a;b43023;28;1988
84b59a;d7b2df;129;1988
84b59a;a3f5b0;75;1988
84b59a;3cab04;125;1988
84b59a;eb4d94;58;1988
84b59a;440ec8;34;1988
84b59a;8fb494;102;1988
84b59a;8cd9f1;39;1987
84b59a;f6ed86;20;1987
84b59a;ea3e78;128;1987
84b59a;efb673;26;1987
84b59a;3d514c;78;1987
84b59a;807c40;12;1987
84b59a;ebea89;67;1987
84b59a;5f936c;89;1987
84b59a;e40f56;42;1987
84b59a;1731b9;79;1987
84b59a;1d281b;18;1987
84b59a;68d344;76;1986
84b59a;3b6ede;107;1986
84b59a;202fa9;112;1986
84b59a;94ab65;115;1986
84b59a;cf551d;206;1986
84b59a;ec9016;54;1986
84b59a;3d5129;33;1986
84b59a;291ca2;47;1986
84b59a;6d9aef;177;1986
84b59a;9f9169;135;1986
84b59a;786c11;7;1986
84b59a;33331e;32;1985
84b59a;ed8300;304;1985
84b59a;0c4ba2;40;1985
84b59a;74437e;64;1985
84b59a;5f1a84;13;1985
84b59a;98f330;26;1985
84b59a;1ebc21;63;1985
84b59a;5ba41b;238;1985
84b59a;85d4fb;21;1985
84b59a;515258;127;1985
84b59a;a1e1bb;57;1985
84b59a;e8ba0c;21;1985
84b59a;e4d022;0;1985
84b59a;f9ffea;24;1984
84b59a;117488;296;1984
84b59a;80871a;35;1984
84b59a;23539f;77;1984
84b59a;d65b82;149;1984
84b59a;b3b94d;77;1983
84b59a;40e625;76;1983
84b59a;e3aa46;0;1983
84b59a;7555ba;12;1983
84b59a;6ee06e;47;1983
84b59a;9d879f;5;1983
84b59a;8e6e8d;87;1982
84b59a;fde551;23;1982
84b59a;9fbac7;48;1982
84b59a;6f4d7c;302;1982
84b59a;c59c05;134;1982
84b59a;3d3ba5;39;1982
84b59a;535d1d;50;1982
84b59a;9730f2;55;1982
84b59a;c8b550;40;1981
84b59a;e5397e;29;1981
84b59a;b2e83c;299;1981
84b59a;98a18c;62;1980
84b59a;c4b17c;202;1980
84b59a;6ce38c;0;1980
84b59a;9f7fe2;27;1980
84b59a;77c140;25;1980
84b59a;5ed101;12;1980
84b59a;d30859;134;1980
84b59a;2c433b;2;1980
84b59a;7d5361;207;1980
84b59a;dfe42c;7;1978
84b59a;a5539d;23;1978
84b59a;0d221c;17;1978
84b59a;3bfcf4;21;1978
84b59a;20a3fe;36;1978
84b59a;361a5c;17;1977
84b59a;262dd2;101;1977
84b59a;8c15b7;106;1977
84b59a;d73c19;488;1977
84b59a;e2c26d;0;1977
84b59a;73f38d;3;1976
84b59a;4d2104;0;1976
84b59a;df1780;60;1976
84b59a;c3353e;19;1976
84b59a;e14588;19;1976
84b59a;053d3a;6;1976
84b59a;9b7aa7;23;1976
84b59a;5500e5;198;1976
84b59a;7a0785;9;1975
84b59a;c3b818;345;1975
84b59a;e934b8;18;1974
84b59a;88fbb3;12;1974
84b59a;fcd433;476;1974
84b59a;5d4510;4;1974
84b59a;a682f0;3;1974
84b59a;5ef64c;16;1973
84b59a;9822a8;6;1973
84b59a;5db35f;4;1973
84b59a;d42a47;12;1972
84b59a;3df09b;7;1971
84b59a;cea005;21;1971
84b59a;2ca56c;6;1971
84b59a;15707a;14;1971
84b59a;c0f69d;2;1970
84b59a;4432d0;4;1969
84b59a;314b31;3;1969
84b59a;954420;11;1969
84b59a;a8812e;9;1969
84b59a;de6464;1;1969
84b59a;28af77;13;1969
84b59a;8ef7f2;12;1968
84b59a;efce4a;9;1968
