Author;PaperID;Citations;Year
949eac;b3b560;4;2015
949eac;6167e2;13;2009
949eac;846c42;14;2008
949eac;8847dc;18;2005
949eac;5f7ec5;56;2005
949eac;25f397;2;2004
949eac;f61296;7;1999
949eac;fc6997;71;1995
949eac;fb820a;1;1991
949eac;1ad2ee;0;1991
949eac;87e92a;9;1990
949eac;709210;3;1989
949eac;1858d8;4;1982
949eac;517c89;16;1981
949eac;38282f;7;1978
949eac;9f37e7;41;1975
949eac;241ca3;590;1973
949eac;0be7f5;16;1965
949eac;0f2986;81;1964
949eac;bd2ea6;68;1962
949eac;8327a0;8;1962
949eac;9940af;18;1954
