Author;PaperID;Citations;Year
956ce8;ead49f;0;2016
956ce8;58958c;4;2016
956ce8;7812c4;0;2016
956ce8;352b60;0;2016
956ce8;8917df;6;2016
956ce8;81b9c2;3;2016
956ce8;f42f75;3;2015
956ce8;a9ce34;7;2015
956ce8;38f337;2;2015
956ce8;ff9ee9;25;2015
956ce8;dceb0c;5;2015
956ce8;e9bd35;5;2015
956ce8;d13fd0;21;2015
956ce8;14b76d;12;2015
956ce8;fce397;3;2015
956ce8;a277cd;5;2015
956ce8;5c1097;0;2015
956ce8;9a7d8c;33;2015
956ce8;62b320;4;2014
956ce8;e928d9;6;2014
956ce8;859f1f;8;2014
956ce8;185214;0;2014
956ce8;130d23;25;2014
956ce8;5f9258;16;2014
956ce8;2876fc;7;2014
956ce8;ac9b22;20;2014
956ce8;b79a61;29;2013
956ce8;41f5ba;4;2013
956ce8;8da0e1;21;2013
956ce8;24fc4b;3;2013
956ce8;e503df;14;2013
956ce8;2bfae4;25;2013
956ce8;db2b85;32;2013
956ce8;3c1f03;15;2013
956ce8;fa63b1;3;2013
956ce8;8326fa;16;2013
956ce8;d66de3;63;2013
956ce8;d19def;1;2013
956ce8;96e536;30;2013
956ce8;df68aa;16;2013
956ce8;15f615;14;2013
956ce8;989d56;124;2013
956ce8;7a338a;2;2013
956ce8;b46d76;42;2013
956ce8;73ee43;4;2013
956ce8;501fa1;7;2013
956ce8;7fcb8a;1;2013
956ce8;6823bb;46;2012
956ce8;3c5692;9;2012
956ce8;291e67;26;2012
956ce8;630b5c;34;2012
956ce8;d2f7ae;89;2012
956ce8;00d090;9;2012
956ce8;87d499;12;2012
956ce8;88cf0c;0;2012
956ce8;f077aa;6;2012
956ce8;cecfff;11;2012
956ce8;9246da;16;2012
956ce8;df8b01;7;2012
956ce8;244f89;97;2012
956ce8;59ab24;31;2012
956ce8;a36ba9;14;2012
956ce8;5a4f5a;20;2012
956ce8;c65043;22;2012
956ce8;72a0ba;11;2011
956ce8;501818;101;2011
956ce8;c0c985;9;2011
956ce8;7973ef;73;2011
956ce8;f988f3;0;2011
956ce8;479cd9;72;2011
956ce8;ec6676;48;2011
956ce8;e3a1db;56;2011
956ce8;afbbd3;103;2011
956ce8;abc66f;4;2011
956ce8;1969c5;99;2011
956ce8;03a5e2;63;2011
956ce8;af94d4;42;2011
956ce8;45dab3;59;2011
956ce8;f187ba;84;2011
956ce8;53085e;22;2011
956ce8;865fe3;42;2011
956ce8;b22185;29;2011
956ce8;7ab84c;34;2011
956ce8;dbfa39;92;2011
956ce8;4d1141;20;2010
956ce8;fd1237;135;2010
956ce8;e5935e;31;2010
956ce8;03d06e;23;2010
956ce8;576af4;52;2010
956ce8;faef7b;138;2010
956ce8;9bcc2f;111;2010
956ce8;5edc83;25;2010
956ce8;7fa0c3;58;2010
956ce8;1fe116;25;2010
956ce8;7e1347;2;2010
956ce8;c1e276;98;2010
956ce8;9d0c77;38;2010
956ce8;025e28;35;2009
956ce8;047d1f;3;2009
956ce8;3218d1;59;2009
956ce8;12f10c;6;2009
956ce8;e3e8da;8;2009
956ce8;98cf52;4;2009
956ce8;8bb251;42;2009
956ce8;92b0b9;9;2009
956ce8;49b71a;61;2009
956ce8;ade2e0;142;2009
956ce8;f7f63c;37;2009
956ce8;994744;14;2009
956ce8;f13e06;9;2009
956ce8;9e31ce;25;2009
956ce8;20c257;93;2009
956ce8;cb7221;38;2009
956ce8;26b4dc;158;2009
956ce8;34db29;45;2009
956ce8;065131;26;2009
956ce8;6e6158;22;2009
956ce8;649620;67;2009
956ce8;f3b3bb;17;2008
956ce8;d34b38;14;2008
956ce8;35e7ee;87;2008
956ce8;66c59a;95;2008
956ce8;93c696;237;2008
956ce8;892dcc;196;2008
956ce8;511396;53;2008
956ce8;427eba;11;2008
956ce8;b7cc93;62;2008
956ce8;758b90;63;2008
956ce8;f17f03;107;2008
956ce8;b967ef;19;2007
956ce8;28494a;93;2007
956ce8;fe322b;11;2007
956ce8;748534;0;2007
956ce8;0a7c8e;56;2007
956ce8;ed6725;30;2007
956ce8;9facb6;282;2007
956ce8;4f9496;136;2007
956ce8;52f358;96;2007
956ce8;bb42f4;75;2006
956ce8;bf98b5;125;2006
956ce8;ff7663;39;2006
956ce8;ab0332;47;2006
956ce8;f6d35c;53;2006
956ce8;8e4e0b;442;2006
956ce8;6e3638;60;2006
956ce8;8951d8;77;2006
956ce8;6a0b01;46;2006
956ce8;235946;31;2006
956ce8;403258;39;2006
956ce8;1e00aa;25;2006
956ce8;3f3f4f;270;2006
956ce8;b37a39;40;2006
956ce8;4d081e;31;2006
956ce8;8d0653;6;2005
956ce8;ba8572;31;2005
956ce8;9ffe0a;23;2005
956ce8;ea8049;76;2005
956ce8;75758a;67;2005
956ce8;1b0746;728;2005
956ce8;426d7c;243;2005
956ce8;e9ad0c;40;2005
956ce8;4ecf86;14;2005
956ce8;15fb0c;212;2005
956ce8;c2bec5;324;2005
956ce8;30cc07;36;2005
956ce8;b7d9f5;21;2005
956ce8;1efed6;16;2005
956ce8;8ebf2f;139;2005
956ce8;ad7252;65;2005
956ce8;46ce22;38;2004
956ce8;6761d7;54;2004
956ce8;c7ae42;47;2004
956ce8;e46bf6;17;2004
956ce8;493b92;352;2004
956ce8;35c877;21;2004
956ce8;04a3e2;92;2004
956ce8;695112;51;2004
956ce8;e91e2a;66;2004
956ce8;2d233f;114;2004
956ce8;222b52;15;2004
956ce8;8099a7;16;2004
956ce8;a9ac0b;36;2004
956ce8;d1f696;92;2004
956ce8;efc204;15;2004
956ce8;12ad2d;7;2004
956ce8;2e696d;107;2003
956ce8;518bcf;30;2003
956ce8;ef5033;34;2003
956ce8;46641a;46;2003
956ce8;70862b;141;2003
956ce8;9052dc;1;2003
956ce8;0a738c;74;2003
956ce8;773584;29;2003
956ce8;5a56e6;13;2003
956ce8;843b0a;62;2003
956ce8;b4877e;264;2003
956ce8;0aaa39;68;2003
956ce8;0dd381;3;2003
956ce8;375f6b;185;2003
956ce8;23f2ca;54;2002
956ce8;a29075;0;2002
956ce8;e7dad9;100;2002
956ce8;09f322;7;2002
956ce8;7ac493;31;2002
956ce8;aef00c;321;2002
956ce8;e1f682;44;2002
956ce8;7edc09;55;2002
956ce8;dc2357;167;2002
956ce8;872078;0;2002
956ce8;31728a;24;2002
956ce8;b8f8fc;30;2002
956ce8;cca041;256;2002
956ce8;67f36a;18;2002
956ce8;6cbb08;302;2002
956ce8;252151;64;2002
956ce8;69cd31;10;2002
956ce8;1b149f;13;2002
