Author;PaperID;Citations;Year
99fcc5;d3852a;6;2015
99fcc5;45d018;9;2015
99fcc5;879139;14;2014
99fcc5;1f72b5;22;2012
99fcc5;c788c7;41;2011
99fcc5;40e5a8;18;2010
99fcc5;980a53;38;2008
99fcc5;58ef08;135;2007
99fcc5;0d4b28;155;2006
99fcc5;555c18;44;2006
99fcc5;584cb3;304;2003
99fcc5;08be13;8;1999
99fcc5;c4fe38;322;1998
99fcc5;66b498;65;1997
99fcc5;01c95a;121;1997
99fcc5;45d814;2;1997
99fcc5;f24192;41;1996
99fcc5;ff07a6;13;1996
99fcc5;b048f9;1;1995
99fcc5;b8819d;96;1995
99fcc5;ffa60a;33;1994
99fcc5;d8b14f;78;1994
99fcc5;48308b;31;1994
99fcc5;8735e1;18;1993
99fcc5;5351af;28;1992
99fcc5;37ce8a;114;1992
99fcc5;d976e1;71;1991
99fcc5;605c2c;10;1991
99fcc5;8def9d;220;1991
99fcc5;7d47fa;61;1990
99fcc5;97b747;32;1990
99fcc5;27ddb0;6;1989
99fcc5;7556c8;29;1989
99fcc5;c52815;3;1987
99fcc5;b305ff;40;1987
99fcc5;b465c4;93;1987
99fcc5;69b49f;50;1987
99fcc5;d9c5e6;0;1986
99fcc5;41d199;39;1986
99fcc5;a06607;1;1986
99fcc5;17c6d3;109;1986
99fcc5;0e61da;23;1985
99fcc5;24fa44;44;1985
99fcc5;5ffe13;17;1984
99fcc5;2059e4;13;1984
99fcc5;a27398;19;1984
99fcc5;392428;151;1984
99fcc5;b1cdd4;299;1984
99fcc5;151ebf;117;1983
99fcc5;982110;1;1982
99fcc5;e20815;114;1981
99fcc5;0ff7ae;118;1980
99fcc5;ef1210;129;1980
99fcc5;7f9a59;8;1980
99fcc5;9b71a4;19;1979
99fcc5;365043;132;1977
99fcc5;9b0013;32;1977
99fcc5;3dd26c;0;1977
99fcc5;69f637;6;1976
99fcc5;ad8e0d;27;1976
99fcc5;8e8f76;51;1976
99fcc5;9ae8f3;47;1975
99fcc5;f1785c;114;1974
99fcc5;33e1a5;27;1973
99fcc5;4a0fc3;13;1973
99fcc5;4d1cff;40;1972
99fcc5;8732e8;7;1972
99fcc5;c45bfa;21;1972
99fcc5;2c7a5e;5;1972
99fcc5;8abb8f;102;1968
99fcc5;69727c;1;1967
99fcc5;84e3b2;131;1967
99fcc5;575006;143;1965
99fcc5;78adaf;1;1964
99fcc5;a1c188;46;1964
99fcc5;ebf515;314;1962
99fcc5;f6e509;40;1961
