Author;PaperID;Citations;Year
a439be;94cdcb;20;1998
a439be;9ce542;75;1995
a439be;73c19c;0;1991
a439be;9a750d;174;1991
a439be;52b57f;12;1989
a439be;3fd78e;69;1988
a439be;54609f;14;1988
a439be;8fe25b;21;1987
a439be;0583be;2;1987
a439be;468bf0;2;1984
a439be;82400f;88;1984
a439be;fd367c;133;1984
a439be;8a0b1a;4;1982
a439be;933df5;13;1982
a439be;6c8167;6;1981
a439be;fa7ad3;13;1980
a439be;a0a498;1;1979
a439be;283b50;122;1975
a439be;158e8a;0;1975
a439be;6e9feb;34;1974
a439be;528a18;23;1960
a439be;d501d6;45;1957
a439be;f48cb8;0;1979
