Author;PaperID;Citations;Year
a83015;25697c;0;2016
a83015;068034;0;2016
a83015;c22346;0;2016
a83015;03922c;0;2016
a83015;e4b7a6;5;2015
a83015;717b77;21;2015
a83015;49cf1f;2;2014
a83015;296aa1;8;2014
a83015;7e9599;2;2014
a83015;3d8ee3;15;2014
a83015;24dd65;27;2014
a83015;4cd867;12;2014
a83015;099392;3;2014
a83015;69891a;14;2013
a83015;b73983;19;2013
a83015;72718c;1;2013
a83015;eaaa33;19;2013
a83015;a0ad0f;10;2013
a83015;3ab96d;125;2013
a83015;ff215c;0;2013
a83015;b22ae7;26;2012
a83015;983d3a;8;2012
a83015;1122b2;36;2012
a83015;52f14e;22;2012
a83015;9b8915;11;2012
a83015;ea07f2;53;2011
a83015;870fc9;12;2011
a83015;d68dc3;19;2011
a83015;b5202e;27;2011
a83015;a527e2;24;2010
a83015;716ce4;14;2009
a83015;eed0c9;80;2009
a83015;559bbe;52;2009
a83015;2e91a0;36;2009
a83015;70ca94;160;2008
a83015;f2c1dc;53;2008
a83015;d9b0cd;92;2008
a83015;196161;64;2008
a83015;1ee844;67;2008
a83015;cb0e87;16;2008
a83015;03de4e;82;2007
a83015;3203fd;12;2007
a83015;17592e;77;2007
a83015;451023;24;2006
a83015;d55dee;185;2004
a83015;82ab91;64;2004
a83015;4d3abe;47;2004
a83015;b654e4;19;2004
a83015;ab27dd;151;2004
a83015;257bea;42;2004
a83015;f67315;263;2003
a83015;be4e89;20;2003
a83015;f4adc7;224;2003
a83015;eead5b;9;2003
a83015;fb84ea;5;2003
a83015;8e733f;222;2003
a83015;51b3b2;117;2003
a83015;8c4a36;231;2002
a83015;47f978;335;2002
a83015;db811e;21;2001
a83015;b8c191;55;2000
a83015;4d79d6;18;2000
a83015;59f1e9;23;2000
a83015;258cce;192;2000
a83015;9c437b;40;1999
a83015;47584c;106;1999
a83015;0794df;1474;1998
a83015;deed67;16;1998
a83015;a08a7e;57;1997
a83015;1a44f1;150;1997
a83015;5ca38d;67;1996
a83015;937f8b;62;1996
a83015;61949d;74;1996
a83015;725ec1;32;1995
a83015;f452bd;5;1995
a83015;0340e7;257;1994
a83015;4686e5;4;1994
a83015;439bfd;137;1994
a83015;42a4a4;430;1993
a83015;bd1708;173;1993
a83015;fbe10b;172;1992
a83015;e3595f;89;1992
a83015;57cd53;60;1992
a83015;bde4d9;104;1991
a83015;ed9fa9;114;1990
a83015;1b278c;87;1990
a83015;d19c7c;26;1990
a83015;8d17e5;215;1989
a83015;482653;111;1988
a83015;f7881e;287;1988
a83015;0604ec;2;1987
a83015;858c5b;972;1987
a83015;09e0ce;91;1987
a83015;743c2f;174;1987
a83015;f1040b;237;1986
a83015;b66fb0;27;1986
a83015;f70f86;300;1986
a83015;3df49e;115;1984
a83015;56a511;98;1984
a83015;4186f3;35;1981
a83015;136a29;182;1978
a83015;048c3d;642;1978
a83015;ae24b2;420;1977
