Author;PaperID;Citations;Year
acbc6d;91b922;0;2016
acbc6d;fe4d38;1;2016
acbc6d;64152e;0;2016
acbc6d;b273f3;0;2016
acbc6d;b08137;0;2016
acbc6d;15a1f3;0;2016
acbc6d;33a4c6;2;2016
acbc6d;bb99a3;1;2016
acbc6d;bea682;4;2016
acbc6d;855202;0;2016
acbc6d;357305;2;2016
acbc6d;e09f92;2;2016
acbc6d;de577e;2;2016
acbc6d;161cfb;1;2016
acbc6d;56d1a1;0;2016
acbc6d;ef94ac;41;2015
acbc6d;2a2e9c;11;2015
acbc6d;fd9db2;2;2015
acbc6d;5e2d47;6;2015
acbc6d;ba3b75;4;2015
acbc6d;6a3751;54;2015
acbc6d;d5b3b5;7;2015
acbc6d;15d36f;6;2015
acbc6d;88b224;3;2015
acbc6d;ede72e;4;2015
acbc6d;55eaa0;17;2015
acbc6d;950b91;3;2015
acbc6d;b3a697;9;2015
acbc6d;1ce605;16;2015
acbc6d;4d0d4a;5;2015
acbc6d;c0cb81;12;2015
acbc6d;5fba54;4;2015
acbc6d;7c5f9f;20;2015
acbc6d;d811b9;6;2015
acbc6d;a03dc3;20;2014
acbc6d;90e167;4;2014
acbc6d;cd293e;8;2014
acbc6d;ab0b5a;5;2014
acbc6d;7002d2;46;2014
acbc6d;1737a0;13;2014
acbc6d;7a2805;5;2014
acbc6d;f5c003;35;2014
acbc6d;606949;14;2014
acbc6d;806044;4;2014
acbc6d;34dafb;48;2014
acbc6d;7cc8c5;14;2014
acbc6d;7133b0;15;2014
acbc6d;da2917;64;2014
acbc6d;9f0ee2;32;2013
acbc6d;10a802;25;2013
acbc6d;776376;1;2013
acbc6d;760270;51;2013
acbc6d;51a21a;21;2013
acbc6d;eb7c9e;4;2013
acbc6d;e294af;22;2013
acbc6d;dd56d9;31;2013
acbc6d;412fe5;87;2013
acbc6d;801a2e;41;2013
acbc6d;796713;22;2013
acbc6d;a3ff79;11;2013
acbc6d;df25d3;18;2013
acbc6d;d48026;19;2013
acbc6d;724371;10;2013
acbc6d;b86973;37;2013
acbc6d;e5e8f0;16;2013
acbc6d;6bd308;28;2013
acbc6d;8a66cb;126;2013
acbc6d;23461b;73;2013
acbc6d;de23cd;29;2013
acbc6d;98c0ef;14;2013
acbc6d;e879d2;19;2013
acbc6d;76fdd1;47;2012
acbc6d;6f68c6;32;2012
acbc6d;753783;32;2012
acbc6d;c7fe59;24;2012
acbc6d;dc5755;28;2012
acbc6d;7c4bba;61;2012
acbc6d;3d92f9;58;2012
acbc6d;3c9c41;116;2012
acbc6d;1038fe;62;2012
acbc6d;16e9a2;28;2012
acbc6d;807b3e;233;2012
acbc6d;cf6534;59;2012
acbc6d;231e7f;161;2012
acbc6d;22a169;34;2012
acbc6d;9db48f;28;2012
acbc6d;0c5820;129;2011
acbc6d;0822af;77;2011
acbc6d;377392;66;2011
acbc6d;5ac3b5;29;2011
acbc6d;28b2a6;408;2011
acbc6d;b18ffc;92;2011
acbc6d;f58528;308;2011
acbc6d;129ae4;34;2011
acbc6d;c65bf5;472;2011
acbc6d;428103;46;2011
acbc6d;334fbb;32;2011
acbc6d;b23860;39;2011
acbc6d;ca7e83;96;2010
acbc6d;fb73b5;0;2010
acbc6d;c363c5;28;2010
acbc6d;2a064d;3;2010
acbc6d;6a605f;132;2010
acbc6d;104f8f;179;2010
acbc6d;6a281a;284;2010
acbc6d;731d25;120;2010
acbc6d;1019e0;116;2010
acbc6d;3451fd;32;2010
acbc6d;7da2a5;271;2010
acbc6d;eb8451;166;2010
acbc6d;e1ee0a;98;2010
acbc6d;311994;210;2009
acbc6d;e90b53;62;2009
acbc6d;30ce1c;108;2009
acbc6d;7234a2;8;2009
acbc6d;e1151d;52;2009
acbc6d;fc5558;58;2009
acbc6d;63a4ad;125;2009
acbc6d;ea23a8;99;2009
acbc6d;128b37;25;2009
acbc6d;354770;206;2009
acbc6d;2de2b5;307;2009
acbc6d;12ab2b;593;2009
acbc6d;2a9686;57;2009
acbc6d;d1d570;118;2008
acbc6d;44e597;103;2008
acbc6d;090eb3;200;2008
acbc6d;54e42a;13;2008
acbc6d;cdae24;9;2008
acbc6d;df6647;8;2008
acbc6d;0e451f;186;2008
acbc6d;0b9f2e;5;2008
acbc6d;55f0e4;21;2008
acbc6d;ad9e19;20;2008
acbc6d;30986e;67;2008
acbc6d;be73a2;30;2008
acbc6d;7fdcfc;72;2008
acbc6d;377f12;21;2008
acbc6d;997c90;108;2008
acbc6d;424ad5;53;2008
acbc6d;69db02;107;2008
acbc6d;f5fe8b;44;2007
acbc6d;be5d65;44;2007
acbc6d;a4dd4e;41;2007
acbc6d;7b6cd6;422;2007
acbc6d;ad83e2;98;2007
acbc6d;64ce85;179;2007
acbc6d;84f11f;269;2007
acbc6d;3c4da8;56;2007
acbc6d;68718e;427;2007
acbc6d;feca83;45;2007
acbc6d;2f47cd;195;2007
acbc6d;10db3f;12;2007
acbc6d;189880;391;2007
acbc6d;e55adc;250;2007
acbc6d;57ec41;17;2007
acbc6d;6b38fd;134;2007
acbc6d;8fedb9;64;2006
acbc6d;dc2114;23;2006
acbc6d;5157d2;31;2006
acbc6d;4747cb;186;2006
acbc6d;ea9744;264;2006
acbc6d;3771e8;236;2006
acbc6d;7eeee6;285;2006
acbc6d;99b6f8;169;2006
acbc6d;ecb834;242;2006
acbc6d;691725;181;2006
acbc6d;0b21ee;217;2006
acbc6d;9f990d;907;2005
acbc6d;dd842b;39;2005
acbc6d;accbb4;171;2005
acbc6d;5cbfa5;362;2005
acbc6d;78fd80;1228;2005
acbc6d;c2afd0;244;2005
acbc6d;6cbe3f;113;2005
acbc6d;c348a7;107;2005
acbc6d;42de80;190;2005
acbc6d;6b6057;114;2005
acbc6d;12ee53;21;2005
acbc6d;0d299a;312;2005
acbc6d;77634b;8;2005
acbc6d;813763;63;2004
acbc6d;e5d799;198;2004
acbc6d;3323cb;152;2004
acbc6d;6b538d;197;2004
acbc6d;9f0799;865;2004
acbc6d;7dc7bd;380;2004
acbc6d;7018ee;395;2004
acbc6d;2d2001;39;2004
acbc6d;212495;2036;2004
acbc6d;616b52;216;2004
acbc6d;b7c375;20;2004
acbc6d;fc22c9;37;2004
acbc6d;2a8cd2;421;2003
acbc6d;689b62;60;2003
acbc6d;c3d839;251;2003
acbc6d;28755a;129;2003
acbc6d;e3dff8;148;2003
acbc6d;9b9734;147;2003
acbc6d;46cc53;188;2003
acbc6d;35375f;214;2003
acbc6d;1bacae;26;2003
acbc6d;91d39e;258;2003
