Author;PaperID;Citations;Year
ae758e;34013f;2;2016
ae758e;5a8f59;2;2016
ae758e;1bdaaa;9;2016
ae758e;d96906;3;2016
ae758e;2f3fab;7;2016
ae758e;eeeabd;6;2016
ae758e;fe3715;23;2016
ae758e;496ed6;19;2015
ae758e;d59cbb;2;2015
ae758e;96a578;12;2015
ae758e;a69cb0;23;2015
ae758e;1ed990;43;2015
ae758e;84b99c;1;2015
ae758e;5b28ea;4;2015
ae758e;39606e;13;2015
ae758e;b3b69c;27;2015
ae758e;86972f;47;2015
ae758e;cdf879;8;2015
ae758e;fbc428;0;2015
ae758e;3e3350;0;2015
ae758e;97d165;7;2015
ae758e;e1bb3c;20;2015
ae758e;abd74e;5;2015
ae758e;175507;35;2015
ae758e;1c08ed;16;2015
ae758e;59f562;3;2015
ae758e;79bedb;10;2015
ae758e;55dc1c;13;2015
ae758e;dcab7a;18;2015
ae758e;6d5bec;8;2015
ae758e;0a5545;20;2014
ae758e;799ba5;9;2014
ae758e;4eb1f6;15;2014
ae758e;eb8fc1;19;2014
ae758e;8b9cdd;22;2014
ae758e;89cc99;8;2014
ae758e;cd6141;19;2014
ae758e;a7412a;109;2014
ae758e;fd26f0;14;2014
ae758e;db49dd;23;2014
ae758e;384439;12;2014
ae758e;ab4e75;32;2014
ae758e;c6e6cb;3;2014
ae758e;38589c;2;2014
ae758e;78388f;0;2014
ae758e;a588cb;1;2014
ae758e;1b94cd;96;2014
ae758e;5fb642;7;2014
ae758e;992cba;53;2014
ae758e;fed4b9;13;2014
ae758e;3e7297;34;2014
ae758e;8ec16d;64;2014
ae758e;b868f8;9;2014
ae758e;a0de1a;19;2014
ae758e;ed4f92;7;2014
ae758e;364fb3;48;2014
ae758e;687545;7;2014
ae758e;888713;15;2014
ae758e;a995f2;63;2014
ae758e;d44f5e;54;2013
ae758e;c2f9a8;76;2013
ae758e;c2a647;17;2013
ae758e;68c724;21;2013
ae758e;fa6142;79;2013
ae758e;679acd;23;2013
ae758e;030619;15;2013
ae758e;ca7ad4;26;2013
ae758e;a473bc;72;2013
ae758e;80597f;26;2013
ae758e;3b7968;29;2013
ae758e;58a606;31;2013
ae758e;803fa0;20;2013
ae758e;97cbc5;18;2013
ae758e;df5864;392;2013
ae758e;987642;51;2013
ae758e;ee3d34;24;2013
ae758e;f4e9b2;24;2013
ae758e;90d9f1;131;2013
ae758e;5f08f8;131;2013
ae758e;8a66cb;126;2013
ae758e;da8842;49;2013
ae758e;5f453f;30;2013
ae758e;2bec0f;219;2013
ae758e;25c054;243;2013
ae758e;26249c;16;2013
ae758e;7a1eb4;24;2013
ae758e;2025eb;174;2013
ae758e;6c0e6a;101;2013
ae758e;6129e6;68;2013
ae758e;e8cb63;142;2013
ae758e;8e3604;135;2012
ae758e;c9b0e4;47;2012
ae758e;81fcbd;71;2012
ae758e;f760ab;80;2012
ae758e;c33740;72;2012
ae758e;562ce3;54;2012
ae758e;67d75e;326;2012
ae758e;1ce1f1;14;2012
ae758e;41cd92;56;2012
ae758e;cb3ee0;148;2012
ae758e;c8d0da;44;2012
ae758e;25f7be;168;2012
ae758e;d44093;178;2012
ae758e;2f6edf;14;2012
ae758e;2b8101;162;2012
ae758e;fdb38e;299;2012
ae758e;358143;50;2012
ae758e;546b9c;156;2012
ae758e;ec7db3;22;2012
ae758e;2e8766;171;2012
ae758e;965277;67;2012
ae758e;956503;210;2012
ae758e;4b4c2c;99;2012
ae758e;46d2d7;96;2012
ae758e;563c94;160;2011
ae758e;d6fde2;196;2011
ae758e;16b00f;85;2011
ae758e;507ef5;6;2011
ae758e;e4ecb5;47;2011
ae758e;4741bb;77;2011
ae758e;e05677;31;2011
ae758e;5195b1;174;2011
ae758e;c40226;44;2011
ae758e;70b441;37;2011
ae758e;b55cd6;49;2011
ae758e;b67a3f;566;2011
ae758e;2c2092;66;2011
ae758e;feacdf;221;2011
ae758e;ce54ce;127;2011
ae758e;71c273;570;2011
ae758e;9ad887;264;2011
ae758e;6ad541;2;2011
ae758e;62d4b7;7;2011
ae758e;9b98b3;71;2011
ae758e;56e312;145;2011
ae758e;d68dcc;377;2011
ae758e;799d24;48;2011
ae758e;c3605c;208;2011
ae758e;b66cab;83;2011
ae758e;73cd9c;40;2011
ae758e;5c96b2;221;2010
ae758e;5fb109;222;2010
ae758e;607e8a;55;2010
ae758e;e05494;205;2010
ae758e;e2b924;296;2010
ae758e;dea5b4;266;2010
ae758e;7669f9;41;2010
ae758e;7866a2;49;2010
ae758e;3dc452;309;2010
ae758e;d3396d;318;2010
ae758e;69f438;571;2010
ae758e;1e5c88;128;2010
ae758e;ebe1ba;231;2010
ae758e;392d93;151;2010
ae758e;f1acd1;59;2010
ae758e;93377a;380;2010
ae758e;c4256a;295;2010
ae758e;2276e4;185;2010
ae758e;8830ce;69;2010
ae758e;64d809;67;2009
ae758e;29cb26;93;2009
ae758e;98c36c;121;2009
ae758e;fe150e;113;2009
ae758e;52a903;849;2009
ae758e;ae5276;888;2009
ae758e;4f7f64;499;2009
ae758e;00e856;278;2009
ae758e;d66e4a;685;2009
ae758e;4de1f7;15;2009
ae758e;1ba9ca;35;2009
ae758e;780e1e;255;2009
ae758e;948797;147;2008
ae758e;ca54d4;192;2008
