Author;PaperID;Citations;Year
c1033c;acbcd8;14;2007
c1033c;d48349;23;2006
c1033c;48498d;64;2001
c1033c;bb5d08;84;2000
c1033c;e024c9;265;1999
c1033c;aec1e6;137;1999
c1033c;4fe929;49;1998
c1033c;8e8a95;45;1998
c1033c;bcefd1;645;1998
c1033c;8d4692;0;1997
c1033c;90e6b1;1;1997
c1033c;1aec05;0;1997
c1033c;df3376;24;1997
c1033c;1485c4;74;1997
c1033c;b5305c;118;1997
c1033c;1d9799;185;1997
c1033c;108da4;192;1997
c1033c;11a379;0;1996
c1033c;56f89f;0;1996
c1033c;380810;29;1996
c1033c;e34ca3;246;1996
c1033c;d3e406;28;1996
c1033c;afd6ae;45;1996
c1033c;c764ce;38;1995
c1033c;eec1f8;52;1995
c1033c;5e6f2a;38;1995
c1033c;0a6843;60;1995
c1033c;ba4278;26;1993
c1033c;d29200;10;1993
c1033c;990112;75;1993
c1033c;7cee4c;29;1993
c1033c;bc3f6e;67;1993
c1033c;9c3b32;51;1993
c1033c;2d6041;240;1992
c1033c;d901fc;59;1992
c1033c;04f998;19;1992
c1033c;820c1b;50;1992
c1033c;e2d782;73;1992
c1033c;4251ac;1293;1991
c1033c;cb7b84;93;1991
c1033c;8a7b66;60;1991
c1033c;b1dcb4;39;1991
c1033c;1cf483;45;1991
c1033c;c77de1;240;1991
c1033c;119667;62;1991
c1033c;50e458;74;1990
c1033c;457dc2;163;1990
c1033c;74af20;46;1989
c1033c;ad2721;80;1989
c1033c;150943;113;1988
c1033c;ce8532;151;1988
c1033c;e5c732;17;1988
c1033c;5b110e;18;1988
c1033c;2ec2f3;123;1988
c1033c;3d866a;182;1987
c1033c;052479;68;1987
c1033c;d705c1;10;1987
c1033c;ef33d9;106;1987
c1033c;9f9ccc;65;1987
c1033c;00b1dc;23;1986
c1033c;4fbd90;2;1986
c1033c;c453dd;53;1986
c1033c;48fe45;79;1986
c1033c;122ab0;141;1986
c1033c;a6c16b;84;1986
c1033c;7058e6;18;1986
c1033c;981802;116;1986
c1033c;0d0139;56;1986
c1033c;45d2eb;25;1986
c1033c;bec6db;7;1986
c1033c;aed344;121;1986
c1033c;dece95;69;1986
c1033c;062e35;31;1985
c1033c;39d581;222;1985
c1033c;6d2588;367;1985
c1033c;ac5752;177;1985
c1033c;e2887e;0;1985
c1033c;ca90fb;0;1985
c1033c;93063d;47;1984
c1033c;e58859;97;1984
c1033c;3dcad8;223;1984
c1033c;e152df;75;1984
c1033c;075132;83;1984
c1033c;38afe9;0;1984
c1033c;518310;0;1984
c1033c;85277a;53;1984
c1033c;85ce59;52;1983
c1033c;1e0640;137;1983
c1033c;50b47a;60;1983
c1033c;d21cd1;59;1983
c1033c;c5d751;11;1983
c1033c;d85079;0;1983
c1033c;c31ac6;198;1982
c1033c;3d8a62;7;1981
c1033c;d33aa7;9;1981
c1033c;4b9024;23;1981
c1033c;0b6833;37;1981
c1033c;ca2bc8;32;1981
c1033c;56d9c4;52;1981
c1033c;5d84d1;8;1981
c1033c;4ad70a;29;1981
c1033c;c0eb68;76;1980
c1033c;417617;37;1980
c1033c;50e93d;62;1980
c1033c;01dda5;14;1980
c1033c;d0b5e5;10;1980
c1033c;997d26;25;1979
c1033c;946b7a;119;1979
c1033c;a9740a;0;1979
c1033c;2696ea;60;1979
c1033c;e6d657;42;1979
c1033c;ef1c7d;79;1978
c1033c;c196de;116;1978
c1033c;bd0196;0;1977
c1033c;ae02fc;78;1977
c1033c;8343a6;17;1977
c1033c;dbfc0e;35;1977
c1033c;aec7ea;68;1977
c1033c;dd477a;25;1977
c1033c;19dba5;246;1977
c1033c;09faa0;29;1977
c1033c;c1b792;3;1977
c1033c;48f538;96;1977
c1033c;a4cd23;0;1977
c1033c;3935a8;3;1976
c1033c;703300;8;1976
c1033c;ed00b5;10;1976
c1033c;3858d6;104;1976
c1033c;af8d7b;83;1976
c1033c;be7efb;4;1976
c1033c;9f68c5;85;1976
c1033c;805b0f;77;1976
c1033c;a8fcec;6;1976
c1033c;a6b1b4;54;1975
c1033c;0b40bd;44;1975
c1033c;bf8d95;4;1975
c1033c;5a7ecc;15;1975
c1033c;de1258;88;1974
c1033c;adbd23;81;1974
c1033c;079e5c;5;1974
c1033c;b7431d;21;1974
c1033c;4eae44;85;1973
c1033c;65c14c;82;1973
c1033c;ed2e1e;97;1972
c1033c;3fd586;86;1972
c1033c;bce243;17;1972
c1033c;c733dd;33;1972
c1033c;8d70ce;23;1971
c1033c;51cd74;2;1970
c1033c;a5d9a8;46;1970
c1033c;0c2f72;14;1969
c1033c;f6c0a8;52;1967
c1033c;ebb691;1;1966
c1033c;b248b8;5;1965
c1033c;6cbcee;20;1965
c1033c;f6c0bf;4;1965
c1033c;89dc14;1;1965
c1033c;059d57;2;1965
c1033c;d0f89b;27;1964
c1033c;300917;494;1964
c1033c;d6d164;20;1964
c1033c;3c09ba;7;1964
c1033c;104eb5;10;1964
c1033c;f89425;14;1963
c1033c;796353;2;1963
c1033c;e54564;6;1962
c1033c;7a2c70;29;1962
c1033c;2ba7a0;51;1962
c1033c;e995e4;0;1961
c1033c;5c4df5;79;1961
c1033c;8e9727;63;1961
c1033c;cd43c6;4;1961
c1033c;fd140b;0;1959
c1033c;3ad1a6;0;1959
c1033c;63296b;10;1959
c1033c;04693c;33;1956
c1033c;414513;77;1955
c1033c;ca8342;7;1955
c1033c;dba69a;5;1953
c1033c;f1f620;65;1982
