Author;PaperID;Citations;Year
c34b47;051e33;0;2016
c34b47;8f4823;0;2016
c34b47;3cb062;0;2016
c34b47;0ea816;1;2016
c34b47;087e4c;0;2016
c34b47;317cda;1;2016
c34b47;eac203;6;2016
c34b47;43e9a6;3;2016
c34b47;31cd59;1;2016
c34b47;60d5a6;0;2015
c34b47;e4b5ca;0;2015
c34b47;bfd12f;17;2015
c34b47;48bed7;7;2015
c34b47;b7365f;6;2015
c34b47;d77bf1;0;2015
c34b47;b2c9f8;17;2015
c34b47;37d6c9;14;2015
c34b47;3c93b1;1;2015
c34b47;6c1066;8;2014
c34b47;c646cd;2;2014
c34b47;a8f393;2;2014
c34b47;169ca6;5;2014
c34b47;26da31;8;2014
c34b47;5f16a3;2;2014
c34b47;ff0b45;27;2014
c34b47;8a6338;8;2014
c34b47;a82341;2;2014
c34b47;6c93c9;103;2014
c34b47;e7f574;3;2014
c34b47;992e62;4;2014
c34b47;ae0713;5;2014
c34b47;e1209b;18;2014
c34b47;34c53f;15;2014
c34b47;1e8039;14;2014
c34b47;cf6d80;38;2014
c34b47;0ddf5d;3;2014
c34b47;0b0b77;5;2013
c34b47;4c9720;15;2013
c34b47;d50031;9;2013
c34b47;0314ca;11;2013
c34b47;a27395;22;2013
c34b47;6f6479;18;2013
c34b47;2fdb5d;15;2013
c34b47;117f80;16;2013
c34b47;0a03bf;10;2013
c34b47;de5dcb;3;2013
c34b47;6fdfc3;4;2013
c34b47;6d41b4;9;2013
c34b47;23d6e0;11;2013
c34b47;058375;12;2013
c34b47;7e5158;7;2013
c34b47;0c6ae0;26;2013
c34b47;e31d08;48;2013
c34b47;28c96d;8;2013
c34b47;65d172;9;2013
c34b47;067022;10;2013
c34b47;e11259;40;2013
c34b47;311e9f;3;2013
c34b47;0c1142;8;2013
c34b47;b5b5c0;20;2012
c34b47;989ee7;14;2012
c34b47;68ea4b;12;2012
c34b47;9690ac;15;2012
c34b47;4eb7c1;7;2012
c34b47;16ca69;44;2012
c34b47;5a47cb;22;2012
c34b47;50b2d6;18;2012
c34b47;544d17;24;2012
c34b47;df74bc;4;2012
c34b47;0bc57d;15;2011
c34b47;f3d0c5;324;2011
c34b47;b46de1;38;2011
c34b47;316a19;19;2011
c34b47;eee437;12;2011
c34b47;bf5f8c;32;2011
c34b47;3849f7;148;2011
c34b47;7362eb;32;2011
c34b47;ba8845;616;2011
c34b47;29b8c3;17;2011
c34b47;aa4bae;86;2011
c34b47;0b4d28;13;2011
c34b47;43e1bd;101;2011
c34b47;d737d6;19;2011
c34b47;d69519;24;2011
c34b47;b27ad1;5;2011
c34b47;9ef160;5;2011
c34b47;04dfde;51;2011
c34b47;9ecacd;15;2011
c34b47;897010;15;2011
c34b47;db565b;37;2011
c34b47;17a0c3;77;2011
c34b47;ce46a6;8;2010
c34b47;4e1282;30;2010
c34b47;8b5908;41;2010
c34b47;349912;9;2010
c34b47;c6b4a5;52;2010
c34b47;6bf30d;14;2010
c34b47;6be8b0;13;2010
c34b47;4ce700;32;2010
c34b47;c4b8d0;19;2010
c34b47;d2aa59;68;2010
c34b47;ce936e;44;2010
c34b47;0e28d5;59;2010
c34b47;f9a2b2;23;2010
c34b47;ada1ac;66;2010
c34b47;58c9f5;25;2010
c34b47;cf0b0b;14;2010
c34b47;1a9403;64;2010
c34b47;8392cc;41;2009
c34b47;92d6b0;127;2009
c34b47;bdb065;20;2009
c34b47;94c0f2;30;2009
c34b47;509b14;15;2009
c34b47;8ab9c4;48;2009
c34b47;144421;51;2009
c34b47;899a29;22;2009
c34b47;ceeecc;30;2009
c34b47;c214e0;42;2009
c34b47;a493e9;82;2009
c34b47;c9eaef;52;2009
c34b47;82bc30;97;2009
c34b47;d8ede0;12;2009
c34b47;2a898c;53;2008
c34b47;2b96b0;89;2008
c34b47;db8a11;38;2008
c34b47;d459ac;97;2008
c34b47;b1be40;35;2008
c34b47;4b80a2;35;2008
c34b47;1823c2;99;2008
c34b47;6b11fd;12;2008
c34b47;0b513f;18;2008
c34b47;0853cd;94;2008
c34b47;b2e159;62;2008
c34b47;74b2d3;28;2008
c34b47;a154ed;83;2008
c34b47;aa77a4;41;2008
c34b47;eb00f9;19;2008
c34b47;7ca733;75;2008
c34b47;035053;6;2008
c34b47;524c52;73;2008
c34b47;5bca3b;167;2008
c34b47;807b1a;59;2008
c34b47;1698c9;31;2008
c34b47;06ba63;28;2008
c34b47;cbccb7;190;2008
c34b47;f59af7;83;2008
c34b47;987d35;40;2008
c34b47;befcdf;85;2007
c34b47;ff599f;39;2007
c34b47;3d0eaa;61;2007
c34b47;d71ddd;86;2007
c34b47;7b768a;138;2007
c34b47;2c9ad6;16;2007
c34b47;b2d897;165;2007
c34b47;39a702;29;2007
c34b47;bf09f2;8;2007
c34b47;31efc6;53;2007
c34b47;f01c6d;55;2007
c34b47;4278e5;60;2007
c34b47;a3e189;34;2007
c34b47;ec5905;41;2007
c34b47;db6c9d;38;2007
c34b47;6d86cc;77;2007
c34b47;d09a35;95;2007
c34b47;c6c000;65;2007
c34b47;c7f10a;357;2007
c34b47;16e14d;180;2007
c34b47;565d6e;34;2007
c34b47;6cc633;117;2007
c34b47;e0118d;20;2006
c34b47;90b4df;44;2006
c34b47;403209;62;2006
c34b47;27580d;35;2006
c34b47;bd9f19;10;2006
c34b47;fdca84;19;2006
c34b47;662c33;7;2006
c34b47;5b3358;26;2006
c34b47;c90260;408;2006
c34b47;8e28fe;89;2006
c34b47;487989;8;2006
c34b47;6d057f;262;2006
c34b47;cc9244;12;2006
c34b47;858919;260;2006
c34b47;57b856;83;2006
c34b47;681f78;50;2006
c34b47;c07ca1;165;2006
c34b47;529a17;9;2006
c34b47;7d5f9c;91;2006
c34b47;d003f0;44;2006
c34b47;1e6991;68;2006
c34b47;33982a;106;2006
c34b47;006f4d;47;2006
c34b47;8af94f;55;2006
c34b47;b61bc7;95;2006
c34b47;573096;15;2006
c34b47;9ca179;126;2006
c34b47;f43bc3;82;2006
c34b47;a49e1c;151;2005
c34b47;fc3c7b;16;2005
c34b47;8fc048;223;2005
c34b47;074142;135;2005
c34b47;c0a4a2;221;2005
c34b47;537122;54;2005
c34b47;ff9bda;27;2005
c34b47;4b797e;40;2005
c34b47;337df2;186;2005
c34b47;936211;51;2005
c34b47;d16353;50;2005
c34b47;8a8d50;29;2005
c34b47;fbc512;40;2005
c34b47;e2769a;650;2005
c34b47;c1eb7c;9;2005
c34b47;60bcb0;61;2005
c34b47;8aa119;40;2005
c34b47;4532f0;181;2005
c34b47;88299e;49;2005
c34b47;be5061;53;2004
c34b47;403d0a;50;2004
c34b47;7038d3;74;2004
c34b47;b68038;699;2004
c34b47;4082b0;24;2004
c34b47;3e5946;30;2004
c34b47;cd4225;106;2004
c34b47;6a9fde;83;2004
c34b47;8a2eaf;52;2004
c34b47;170eea;32;2004
c34b47;4a5cb4;5;2004
c34b47;ac004a;10;2004
c34b47;e45c63;58;2004
c34b47;89fa8b;24;2004
c34b47;d885af;55;2004
c34b47;2a542e;16;2004
c34b47;7dc18d;150;2004
c34b47;c57307;47;2004
c34b47;4ca5b7;145;2004
c34b47;1a39de;24;2004
c34b47;7e969c;75;2004
c34b47;24bb46;35;2004
c34b47;463598;0;2004
c34b47;5c7858;21;2004
c34b47;825f8e;37;2004
c34b47;36b85a;9;2004
c34b47;6e2a8a;20;2004
c34b47;05d155;50;2004
c34b47;e2c32f;61;2004
c34b47;fb59d5;46;2004
c34b47;92461e;43;2004
c34b47;33372a;20;2004
c34b47;00335f;104;2004
c34b47;b3e006;56;2004
c34b47;ee18c4;134;2004
c34b47;6e943d;4;2003
c34b47;d7497d;111;2003
c34b47;d39d82;56;2003
c34b47;75efec;100;2003
c34b47;88d147;25;2003
c34b47;09a6d3;53;2003
c34b47;817181;7;2003
c34b47;740523;11;2003
c34b47;25ae39;372;2003
c34b47;ac9a30;17;2003
c34b47;ccb156;17;2003
c34b47;f3007b;66;2003
c34b47;22b261;51;2003
c34b47;9ddade;101;2003
c34b47;4ef5ac;20;2003
c34b47;519a9f;88;2003
c34b47;376eee;229;2003
c34b47;c2ca8c;76;2003
c34b47;1bf074;35;2002
c34b47;919929;420;2002
c34b47;404419;23;2002
c34b47;4ed1b7;18;2002
c34b47;c01661;367;2002
c34b47;e709be;71;2002
c34b47;1faea2;4;2002
c34b47;43cd2f;183;2002
c34b47;182a70;51;2002
c34b47;6a20f0;38;2002
c34b47;cd7f51;28;2002
c34b47;d59e15;16;2002
c34b47;81aeb4;52;2002
c34b47;0caa2b;84;2002
c34b47;aa5fd6;86;2002
c34b47;f9d27f;93;2002
c34b47;c99dbc;49;2002
c34b47;b6a9bc;48;2002
c34b47;b5b574;24;2002
c34b47;7f8dc6;15;2002
c34b47;4e4bc4;52;2002
c34b47;4de9dd;48;2002
c34b47;1b44a5;154;2002
c34b47;e4364e;31;2002
c34b47;5431aa;2;2002
c34b47;d759ac;54;2002
c34b47;df13ee;54;2001
c34b47;9c4a55;30;2001
c34b47;caddba;46;2001
c34b47;2c7a92;197;2001
c34b47;de082d;29;2001
c34b47;01831e;92;2001
c34b47;7064ea;41;2001
c34b47;c5eb25;15;2001
c34b47;9cbab7;46;2001
c34b47;b2a467;23;2001
c34b47;e3eb96;16;2001
c34b47;3ed7a3;110;2001
c34b47;67f7e4;18;2001
c34b47;3b053b;11;2001
c34b47;d900a5;14;2001
c34b47;e0d4fb;22;2000
c34b47;3853d2;22;2000
c34b47;e4a7a8;360;2000
c34b47;4d5c54;88;2000
c34b47;439727;121;2000
c34b47;b8b061;33;2000
c34b47;fbcee9;17;2000
c34b47;1d3f92;13;2000
c34b47;69e362;60;2000
c34b47;47d76b;78;2000
c34b47;efd709;42;2000
c34b47;61376c;45;2000
c34b47;a94ccc;10;2000
c34b47;82c51a;11;2000
c34b47;e031eb;109;2000
c34b47;bcd4a3;25;2000
c34b47;e4abf8;32;2000
c34b47;7520c3;29;2000
c34b47;2c95ea;138;2000
c34b47;1cce10;17;2000
c34b47;fa050c;39;2000
c34b47;17dc33;62;2000
c34b47;295167;22;2000
c34b47;8eee86;18;2000
c34b47;55ced0;43;2000
c34b47;f9c5a4;28;2000
c34b47;08cbe7;42;1999
c34b47;e14904;3;1999
c34b47;60eda4;6;1999
c34b47;c828dc;34;1999
c34b47;75dab2;25;1999
c34b47;34ecba;23;1999
c34b47;c4e80b;15;1999
c34b47;10ac2d;29;1999
c34b47;f89d44;7;1999
c34b47;f042fd;185;1999
c34b47;e511de;105;1999
c34b47;368fe7;62;1999
c34b47;225720;83;1999
c34b47;d0ab8c;34;1999
c34b47;0befc4;9;1999
c34b47;c09673;35;1999
c34b47;0cb922;9;1999
c34b47;6d2556;21;1999
c34b47;b0c1c4;4;1999
c34b47;fe0dad;43;1999
c34b47;756985;24;1999
c34b47;d1ea95;553;1999
c34b47;787861;41;1999
c34b47;9f5a51;27;1999
c34b47;8af5a7;98;1999
c34b47;2ad9a7;17;1999
c34b47;ac6b55;10;1998
c34b47;4c0335;10;1998
c34b47;bedf9f;21;1998
c34b47;3e2273;15;1998
c34b47;7643b1;11;1998
c34b47;2b5bf3;59;1998
c34b47;c9ed28;18;1998
c34b47;bedb3c;125;1998
c34b47;fdff70;28;1998
c34b47;44ef70;30;1998
c34b47;018654;24;1998
c34b47;ba833f;14;1998
c34b47;11c6e6;11;1998
c34b47;713f1b;125;1998
c34b47;f9d22f;24;1998
c34b47;046ad3;37;1998
c34b47;3f7fc8;32;1998
c34b47;64599c;132;1998
c34b47;93e8e6;106;1998
c34b47;8200e9;165;1998
c34b47;57dcdd;39;1998
c34b47;bc777d;393;1998
c34b47;9218a6;0;1997
c34b47;54c939;8;1997
c34b47;10e9de;78;1997
c34b47;db9d0a;103;1997
c34b47;206bf5;113;1997
c34b47;21fd0a;72;1997
c34b47;30138c;5;1997
c34b47;b3fcaa;19;1997
c34b47;925ecd;108;1997
c34b47;bfc61f;94;1997
c34b47;6ce7f2;106;1997
c34b47;958f78;52;1997
c34b47;9f044f;28;1997
c34b47;11a408;8;1997
c34b47;b1cc41;55;1997
c34b47;319237;164;1997
c34b47;7345df;31;1997
c34b47;0d0f1b;89;1997
