Author;PaperID;Citations;Year
cee156;63eab6;4;2010
cee156;2285f1;9;2007
cee156;e4557b;63;2005
cee156;45d1f4;24;2004
cee156;95d777;10;2002
cee156;14f972;3;2001
cee156;bf6ab1;8;2001
cee156;cf7d30;0;2000
cee156;a8178c;7;1999
cee156;1518b8;8;1998
cee156;fe4570;11;1998
cee156;aac154;15;1998
cee156;049301;37;1997
cee156;f2cc4f;0;1997
cee156;f4c614;50;1997
cee156;8b7f36;14;1997
cee156;8d0f9f;82;1996
cee156;6d2123;1;1996
cee156;7e94af;7;1995
cee156;adc85a;73;1995
cee156;b92866;29;1994
cee156;16730f;9;1994
cee156;ce46d4;84;1994
cee156;19ed2f;27;1994
cee156;49a10a;45;1994
cee156;96fd8a;15;1994
cee156;e40975;59;1994
cee156;3628a0;9;1993
cee156;e74ab1;69;1993
cee156;588c68;174;1993
cee156;774181;22;1993
cee156;fbff91;29;1993
cee156;efc76d;7;1992
cee156;bba998;16;1991
cee156;3b9865;9;1991
cee156;fb454a;3;1991
cee156;2acdf2;48;1991
cee156;121d24;6;1991
cee156;94a6c0;19;1990
cee156;ba08f2;23;1990
cee156;2af6ed;40;1990
cee156;83be50;16;1990
cee156;44f29e;40;1989
cee156;43e367;11;1989
cee156;b658f6;24;1989
cee156;87114e;1;1988
cee156;4eed27;23;1988
cee156;8ab3da;47;1988
cee156;52c2fd;26;1988
cee156;050e01;25;1987
cee156;1fa0bd;85;1987
cee156;44a43d;14;1987
cee156;7c8edb;4;1987
cee156;e5a9ad;56;1987
cee156;c04363;68;1986
cee156;b60b30;107;1986
cee156;8f14b7;0;1986
cee156;1ca4ed;60;1985
cee156;f365e1;11;1985
cee156;74d292;46;1985
cee156;83c675;409;1985
cee156;c8ad2e;85;1984
cee156;bfdb7a;121;1984
cee156;a44667;1;1984
cee156;8ebeff;33;1984
cee156;8c8158;21;1984
cee156;be1833;11;1984
cee156;a19eee;10;1983
cee156;ec89c6;53;1983
cee156;4d6220;141;1983
cee156;9bc102;540;1983
cee156;2769a7;101;1983
cee156;286c47;40;1983
cee156;63c47b;8;1982
cee156;fe7ad2;1870;1982
cee156;4aa017;86;1981
cee156;f8d358;175;1981
cee156;45e0b6;66;1980
cee156;f41990;76;1980
cee156;585549;10;1980
cee156;6aaf7c;15;1980
cee156;966c92;737;1980
cee156;522f1e;23;1979
cee156;ce9dc9;13;1979
cee156;a9a109;0;1978
cee156;0019d1;56;1978
cee156;e45c76;92;1978
cee156;821e27;1414;1978
cee156;12027e;40;1978
cee156;37fb0e;110;1978
cee156;5929f9;17;1978
cee156;913b95;46;1978
cee156;254e87;6;1978
cee156;f4336c;4;1977
cee156;be581c;759;1977
cee156;0ab1a6;0;1977
cee156;11e7a3;16;1976
cee156;29ca49;95;1976
cee156;6e0da2;5;1976
cee156;4bb493;10;1976
cee156;20a676;5;1976
cee156;c8e732;209;1976
cee156;1501e2;33;1975
cee156;c07c87;177;1975
cee156;32bc86;105;1975
cee156;be9b9a;122;1975
cee156;fe5401;86;1974
cee156;6fdb04;32;1974
cee156;a27f54;811;1974
cee156;a5c324;68;1973
cee156;901f2f;304;1973
cee156;39d52f;16;1973
cee156;afb378;6139;1973
cee156;54b735;322;1972
cee156;ad5bad;432;1972
cee156;b32754;16;1972
cee156;474af3;327;1972
cee156;33f68f;3;1971
cee156;eb83b1;267;1971
cee156;d42651;107;1970
cee156;98bbc6;25;1970
cee156;855bda;9;1969
cee156;5b9549;0;1969
cee156;52cbc3;160;1969
cee156;9e8117;23;1969
cee156;aea656;38;1969
cee156;7b47b1;8;1967
cee156;9e21b9;4;1966
cee156;cdd16d;22;1964
cee156;cfa701;34;1963
cee156;34b170;146;1962
cee156;a3d54b;4;1962
cee156;a698e6;226;1962
cee156;87b7bf;1;1961
cee156;5d63e7;44;1961
cee156;4cab0b;370;1961
cee156;81ad30;60;1960
cee156;0ae7ff;0;1960
cee156;e14d37;7;1960
cee156;7d247b;487;1960
cee156;41fddf;188;1960
cee156;ed6da0;0;1959
cee156;1638a0;9;1959
cee156;38cd5e;21;1958
cee156;7377fa;2;1957
cee156;dbc6c1;20;1957
cee156;327145;12;1956
