Author;PaperID;Citations;Year
d663eb;fbd952;9;2007
d663eb;9096e7;9;2007
d663eb;9df09f;7;2007
d663eb;481551;4;2007
d663eb;c321eb;5;2007
d663eb;4fdfdd;28;2003
d663eb;9c5b21;95;2002
d663eb;c721ce;71;2002
d663eb;77519a;60;2002
d663eb;bb02ab;28;2002
d663eb;6db636;107;2001
d663eb;064a1e;79;2000
d663eb;9138f8;7;2000
d663eb;4f49aa;138;1999
d663eb;9b8926;65;1999
d663eb;041e45;98;1995
d663eb;c817a6;155;1995
d663eb;6f3c4f;10;1993
d663eb;3f9a64;1;1991
d663eb;db70be;135;1990
d663eb;bea8d9;97;1990
d663eb;f962a4;39;1990
d663eb;5436e2;30;1989
d663eb;ea00a2;173;1987
d663eb;453f3f;9;1987
d663eb;fda9ed;130;1985
d663eb;61dedf;105;1984
d663eb;7698da;141;1980
d663eb;e50d4e;87;1980
d663eb;395a21;3;1973
d663eb;457803;388;1972
d663eb;71d159;1258;1971
d663eb;57eafc;6;1971
d663eb;83a87c;315;1969
d663eb;a8ca1d;21;1969
