Author;PaperID;Citations;Year
d847f3;ba941c;2;2015
d847f3;b7171f;0;2014
d847f3;4adc9a;0;2014
d847f3;0d7fbc;0;2014
d847f3;abb1c9;3;2011
d847f3;19c7b9;12;2011
d847f3;fa39ad;8;2008
d847f3;9a13f4;1;2008
d847f3;2ad9ca;6;2008
d847f3;7e6fa0;53;2007
d847f3;7481a5;0;2007
d847f3;f4a1e9;5;2006
d847f3;e83029;8;2006
d847f3;068cd1;2;2004
d847f3;e1af8b;38;2004
d847f3;ff7331;15;2004
d847f3;d1004c;4;2002
d847f3;b12648;7;2002
d847f3;e343ab;8;2002
d847f3;c02334;164;2002
d847f3;70aeb7;72;2002
d847f3;889e91;69;2001
d847f3;e53ff8;34;2000
d847f3;67e063;113;1999
d847f3;41fbd2;54;1999
d847f3;bc29c3;302;1999
d847f3;4a73b7;10;1998
d847f3;9aeb65;6;1998
d847f3;689180;347;1997
d847f3;410cd8;5;1996
d847f3;f83375;1;1995
d847f3;964f26;31;1995
d847f3;10dd39;124;1995
d847f3;6b3d66;9;1995
d847f3;ec003b;41;1995
d847f3;a1bceb;336;1995
d847f3;9b7f87;54;1994
d847f3;378416;72;1993
d847f3;67279a;42;1992
d847f3;f053a6;23;1992
d847f3;e1e2cf;61;1991
d847f3;c36edb;69;1990
d847f3;c58c6e;3;1989
d847f3;93c68b;511;1988
d847f3;c0f03a;69;1988
d847f3;20dc89;13;1987
d847f3;e11acb;130;1986
d847f3;ce93e4;429;1986
d847f3;9c4b16;11;1986
d847f3;1841b5;21;1985
d847f3;680c94;0;1985
d847f3;2b7920;10;1984
d847f3;eecc3b;381;1984
d847f3;1d16f3;0;1984
d847f3;4708ff;133;1984
d847f3;b8825c;145;1984
d847f3;52daf1;78;1983
d847f3;fada69;15;1983
d847f3;fb2c20;8;1983
d847f3;c48108;8;1982
d847f3;fc39b9;7;1981
d847f3;e4d7db;448;1981
d847f3;1e2433;212;1979
d847f3;b9d5aa;20;1979
d847f3;bd1a80;4;1977
d847f3;9f178b;142;1976
d847f3;548d84;33;1976
d847f3;84d4c5;53;1976
d847f3;1f2f64;110;1976
d847f3;36e823;62;1975
d847f3;4117dc;13;1975
d847f3;51ffba;32;1974
d847f3;6db11b;67;1974
d847f3;29b90a;7;1973
d847f3;015ea0;1;1973
d847f3;3d461a;218;1971
d847f3;bb7612;11;1971
d847f3;c07d8f;29;1971
d847f3;e960b3;145;1970
d847f3;fc9a2d;214;1969
d847f3;27f5be;25;1968
d847f3;204759;1102;1967
d847f3;8c67f3;0;1994
d847f3;31ca55;2;1990
d847f3;9b8a74;1;1989
d847f3;a827b0;0;1986
d847f3;44e1fd;0;1985
d847f3;601d7f;250;1979
