Author;PaperID;Citations;Year
d9010a;c9d77e;0;2016
d9010a;b126bf;0;2016
d9010a;ef44ad;5;2016
d9010a;f5c3d0;6;2016
d9010a;b6f0f2;27;2016
d9010a;9e62d0;26;2016
d9010a;6fbec9;5;2016
d9010a;2113f5;146;2015
d9010a;238662;433;2015
d9010a;2e4925;21;2015
d9010a;678199;132;2015
d9010a;c774a5;1;2015
d9010a;8102fb;8;2015
d9010a;b305cf;6;2015
d9010a;96650c;6;2015
d9010a;50b37f;24;2015
d9010a;758d47;5;2015
d9010a;11bfdd;144;2015
d9010a;e9dfeb;245;2014
d9010a;1828a1;124;2014
d9010a;96e285;40;2014
d9010a;29b807;4;2014
d9010a;b97a42;490;2014
d9010a;f7b8f1;1;2014
d9010a;e86342;31;2014
d9010a;f83408;323;2014
d9010a;38446c;11;2014
d9010a;aed2ff;16;2014
d9010a;83bc4b;458;2014
d9010a;662ecb;519;2014
d9010a;fd62c1;17;2013
d9010a;811149;56;2013
d9010a;e48245;602;2013
d9010a;67242a;19;2013
d9010a;2df66c;585;2013
d9010a;294824;8;2013
d9010a;b0d2be;11;2013
d9010a;db8f9d;656;2013
d9010a;9925f0;25;2013
d9010a;6da99e;103;2013
d9010a;57f7e6;67;2013
d9010a;20ce8a;273;2013
d9010a;0a0c18;422;2013
d9010a;baa5f6;376;2012
d9010a;af47e7;2544;2012
d9010a;923590;1029;2012
d9010a;afc7ad;3538;2012
d9010a;b0c4b3;18;2012
d9010a;ac72a2;36;2012
d9010a;0b0831;709;2012
d9010a;33e386;25;2012
d9010a;7d2b44;6;2012
d9010a;38cf9c;1802;2012
d9010a;6cc1ed;69;2012
d9010a;5b7213;157;2012
d9010a;2ba892;39;2012
d9010a;2080ce;140;2012
d9010a;867d75;217;2012
d9010a;4b7d68;29;2011
d9010a;3083ee;377;2011
d9010a;ce5ef4;156;2011
d9010a;3a6931;212;2011
d9010a;039f16;27;2011
d9010a;fa3eb3;53;2011
d9010a;33abe6;2156;2011
d9010a;461969;3;2011
d9010a;2c7b4e;566;2011
d9010a;48acad;1;2011
d9010a;61d5b2;211;2011
d9010a;164b6c;28;2011
d9010a;91d433;114;2011
d9010a;de1c2f;693;2011
d9010a;fbd750;138;2010
d9010a;496299;3736;2010
d9010a;2667d7;331;2010
d9010a;a3df54;14;2010
d9010a;2b14d8;669;2010
d9010a;0cc463;230;2010
d9010a;272b23;2;2010
d9010a;0ee7bc;10;2010
d9010a;0c57f0;7;2010
d9010a;e34a92;58;2009
d9010a;45660f;159;2009
d9010a;66b9a3;437;2009
d9010a;e7cdc9;267;2009
d9010a;e321e0;209;2009
d9010a;c544b0;266;2009
d9010a;bf26ab;50;2008
d9010a;e76c1a;38;2008
d9010a;7bc8cf;14;2008
d9010a;39c08a;5;2008
d9010a;06e4ab;201;2008
d9010a;c9b30c;15;2008
d9010a;512c2d;393;2008
d9010a;18b637;36;2007
d9010a;ea0651;18;2007
d9010a;1f0b5f;34;2007
d9010a;c94058;158;2007
d9010a;003e7c;151;2007
d9010a;60538b;379;2007
d9010a;6aca85;88;2007
d9010a;1daaae;63;2007
d9010a;725c3b;18;2007
d9010a;01bab2;126;2007
d9010a;05c7ff;2852;2007
d9010a;0dcd77;151;2007
d9010a;c12d01;148;2007
d9010a;59f044;107;2007
d9010a;e7335a;16;2007
d9010a;461951;57;2007
d9010a;4cee81;218;2007
d9010a;02502f;153;2006
d9010a;c12d64;146;2006
d9010a;8f2c6d;46;2006
d9010a;07f39c;486;2006
d9010a;7c316b;6;2006
d9010a;1e5267;283;2006
d9010a;1fdbee;312;2006
d9010a;62bdc7;294;2006
d9010a;eb26c8;42;2006
d9010a;d8ba8c;94;2006
d9010a;b994b4;345;2006
d9010a;64dee5;1532;2005
d9010a;631f41;45;2005
d9010a;cf0ceb;164;2005
d9010a;246c20;51;2005
d9010a;318e3d;37;2005
d9010a;33673b;41;2005
d9010a;e55d85;84;2004
d9010a;37a95f;153;2004
d9010a;89f1e0;19;2004
d9010a;64d7e6;309;2004
d9010a;0e88e2;130;2004
d9010a;7ef845;848;2004
d9010a;872190;52;2004
d9010a;9b0d73;608;2004
d9010a;d1ece1;195;2004
d9010a;94b2c8;139;2004
d9010a;71148a;674;2004
d9010a;6f9644;78;2003
d9010a;0ad296;227;2003
d9010a;fd6d26;401;2003
d9010a;098b9e;466;2003
d9010a;91d2c6;174;2003
d9010a;c34cc3;64;2003
d9010a;62773b;778;2003
d9010a;d64b1c;216;2003
d9010a;bfe98a;4156;2002
