Author;PaperID;Citations;Year
d98290;c9e0ac;1;2015
d98290;2cfcdc;1;2013
d98290;161916;1;2012
d98290;435105;11;2011
d98290;baf0d4;5;2011
d98290;1d8717;23;2010
d98290;922449;22;2009
d98290;445db0;24;2009
d98290;2ea78d;6;2007
d98290;af6f28;67;2006
d98290;93c96c;63;2005
d98290;dbf46a;4;2005
d98290;2c4920;1;2004
d98290;44d7f3;50;2004
d98290;8087c8;281;2004
d98290;60ba7f;45;2004
d98290;975619;80;2004
d98290;f04196;259;2004
d98290;5ed9e3;2;2001
d98290;b0ae0d;192;2001
d98290;94e9ab;39;2001
d98290;beac21;1;2000
d98290;c0d1c1;0;2000
d98290;acd65b;62;2000
d98290;0447d2;13;2000
d98290;0c12ce;102;2000
d98290;8c7510;15;2000
d98290;30fb9a;1;1999
d98290;18062e;35;1999
d98290;b2d65c;4;1999
d98290;13e4f9;239;1999
d98290;50b54a;9;1999
d98290;2acfcc;67;1999
d98290;7d607f;59;1999
d98290;f2f1a9;0;1999
d98290;9265fb;0;1999
d98290;ce415d;149;1998
d98290;fbb7c2;17;1998
d98290;f83ccb;12;1998
d98290;5acc1a;730;1998
d98290;093a2f;38;1997
d98290;63c524;39;1996
d98290;95f8e0;4;1996
d98290;01522a;77;1995
d98290;5be5ff;40;1995
d98290;e1962b;94;1995
d98290;d58855;4;1994
d98290;b2866b;78;1994
d98290;b1da18;37;1994
d98290;20285d;42;1993
d98290;682fae;61;1993
d98290;c6a3a6;0;1991
d98290;d0363f;23;1990
d98290;dd5877;39;1990
d98290;0b70c8;25;1989
d98290;9d0279;2409;1988
d98290;9f837d;131;1987
d98290;1ad8ea;54;1986
d98290;9b55e5;15;1984
d98290;2a8ed0;2;1981
d98290;1ed5ca;3;1980
d98290;5a3abd;2;1980
d98290;b1e5cf;45;1976
d98290;0ca4ae;15;1974
d98290;c2e6c9;15;1971
d98290;386304;1;1971
d98290;14a7cb;18;1970
d98290;177132;4;1969
d98290;bacd47;4;1968
d98290;164e0a;97;1968
d98290;1f9b35;60;1966
d98290;f5aac4;0;1966
d98290;079694;11;1965
d98290;c6d09d;26;1965
d98290;ae3080;25;1964
d98290;3ed5f3;1;1962
d98290;c3e8ee;12;1962
d98290;dda1e2;26;1962
