Author;PaperID;Citations;Year
e7396a;a8250c;120;2006
e7396a;9fd67f;82;2006
e7396a;52e465;75;2006
e7396a;0af49c;24;2005
e7396a;b71d1e;107;2005
e7396a;1791dc;59;2004
e7396a;6e7e88;21;2004
e7396a;ab2335;12;2003
e7396a;af957c;228;2003
e7396a;fd1fe5;154;2002
e7396a;a7b986;134;2002
e7396a;b351be;206;2002
e7396a;31c1dc;22;2001
e7396a;d00c0d;21;2001
e7396a;ce9504;134;2000
e7396a;786c92;240;2000
e7396a;d85bea;75;1999
e7396a;767750;58;1999
e7396a;96bb91;26;1998
e7396a;4abd48;76;1998
e7396a;d05193;108;1998
e7396a;39796c;22;1998
e7396a;0b59d2;74;1998
e7396a;991301;5;1997
e7396a;25f5b9;167;1997
e7396a;02b5e4;112;1996
e7396a;cf15a2;30;1996
e7396a;7e0360;147;1995
e7396a;091fbb;559;1995
e7396a;e68b86;181;1994
e7396a;7b2df4;60;1993
e7396a;f8eb68;12;1993
e7396a;6969d8;107;1993
e7396a;e1b671;133;1993
e7396a;1ddcba;19;1992
e7396a;d72a27;125;1992
e7396a;0b30d0;83;1992
e7396a;5b3864;174;1992
e7396a;bb8dce;0;1992
e7396a;28c12e;950;1991
e7396a;5bba10;121;1991
e7396a;fd5e6d;337;1989
e7396a;8bf259;70;1989
e7396a;2469f0;116;1989
e7396a;88af28;42;1987
e7396a;2458f7;13;1987
e7396a;72a4a7;262;1986
e7396a;1b5a2d;14;1986
e7396a;c4f452;48;1985
e7396a;7524fe;11;1985
e7396a;f6800e;7;1985
e7396a;bc1993;16;1985
e7396a;cde2e6;20;1983
e7396a;44798a;89;1983
e7396a;635698;6;1983
e7396a;f9a675;25;1982
e7396a;bde46a;29;1981
e7396a;26544e;6;1981
e7396a;0d173a;124;1980
e7396a;57c531;55;1979
e7396a;f057b1;33;1978
e7396a;dec2d1;42;1977
e7396a;df263d;1;1976
e7396a;f238e0;68;1975
e7396a;8885b4;34;1974
e7396a;5e4d8b;86;1974
e7396a;720b5a;1;1973
e7396a;a82bd0;31;1973
