Author;PaperID;Citations;Year
ef76cc;5cabac;4;2011
ef76cc;389964;115;2003
ef76cc;ec50ed;66;1998
ef76cc;44ac40;101;1998
ef76cc;4df8bb;19;1997
ef76cc;10e9f5;49;1997
ef76cc;ed1ee1;65;1996
ef76cc;9ecb03;43;1996
ef76cc;be185d;6;1996
ef76cc;dd235c;10;1996
ef76cc;b4bc37;131;1995
ef76cc;5a66eb;177;1995
ef76cc;0e3b25;27;1995
ef76cc;16226f;60;1992
ef76cc;a796c9;33;1991
ef76cc;bd4205;7;1991
ef76cc;6719d0;29;1991
ef76cc;c1ed41;13;1991
ef76cc;5a648b;26;1990
ef76cc;49bdfd;15;1997
ef76cc;08af06;1;1996
ef76cc;39838b;41;1996
ef76cc;d7a7bd;16;1996
ef76cc;3dcb35;222;1996
ef76cc;030b6b;45;1996
ef76cc;4848bf;31;1995
ef76cc;57e7b5;1;1995
ef76cc;21b2c5;30;1994
ef76cc;15b92c;265;1992
ef76cc;527de8;59;1992
ef76cc;9b961d;61;1991
ef76cc;ac4085;31;1991
ef76cc;9b361d;33;1991
ef76cc;3cf67e;4;1983
ef76cc;7a7040;0;1975
ef76cc;c60096;5;1966
