Author;PaperID;Citations;Year
f5fb72;65d93b;0;2014
f5fb72;aabc6d;16;2009
f5fb72;50dc90;26;2007
f5fb72;a94819;44;2004
f5fb72;39cc0a;18;2004
f5fb72;dc1b2b;31;2003
f5fb72;0dc2a7;23;2002
f5fb72;a8f165;0;2001
f5fb72;c63d96;25;2001
f5fb72;e6f965;29;2000
f5fb72;06c742;58;2000
f5fb72;05e257;19;1999
f5fb72;06a74c;30;1999
f5fb72;7e5d5d;18;1999
f5fb72;4ae028;7;1999
f5fb72;d2a182;130;1999
f5fb72;c221b5;75;1999
f5fb72;e817f6;8;1999
f5fb72;509ff4;33;1999
f5fb72;fc6cee;2;1999
f5fb72;b502d3;136;1998
f5fb72;1b41c4;70;1998
f5fb72;ea1187;111;1998
f5fb72;a6ea35;1;1998
f5fb72;45e267;15;1998
f5fb72;548409;182;1998
f5fb72;70814b;30;1998
f5fb72;88f898;8;1998
f5fb72;df22e5;8;1998
f5fb72;59fd96;59;1998
f5fb72;2d038f;0;1997
f5fb72;0e0c2a;18;1997
f5fb72;fba1ff;113;1997
f5fb72;7c5fbf;0;1997
f5fb72;ffe4d6;2;1997
f5fb72;9049fe;17;1997
f5fb72;4416ed;1;1997
f5fb72;b95a92;4;1997
f5fb72;c17587;92;1997
f5fb72;4556de;34;1996
f5fb72;255121;79;1996
f5fb72;aa9ac8;198;1995
f5fb72;8d7a3d;174;1995
f5fb72;bdebd2;139;1995
f5fb72;a9ab09;80;1995
f5fb72;3760c9;24;1995
f5fb72;6ca639;54;1995
f5fb72;366f1d;90;1995
f5fb72;c32ada;50;1995
f5fb72;ab30c2;0;1995
f5fb72;8ce474;1;1994
f5fb72;ccde9a;14;1993
f5fb72;0dab8a;185;1993
f5fb72;c1b6f6;1;1993
f5fb72;16f698;7;1993
f5fb72;f3377a;7;1993
f5fb72;6ebe61;14;1993
f5fb72;58ffba;2;1993
f5fb72;33576b;21;1993
f5fb72;e2c569;34;1992
f5fb72;86a466;25;1990
f5fb72;9df36f;20;1990
f5fb72;12db02;16;1990
f5fb72;c86194;60;1989
f5fb72;d97eba;16;1989
f5fb72;3bc106;8;1988
f5fb72;f01b44;2;1988
f5fb72;e50118;10;1987
f5fb72;0ee69b;70;1987
f5fb72;2a4243;23;1986
f5fb72;a6c268;197;1986
f5fb72;0e0a1e;102;1986
f5fb72;3e680b;39;1986
f5fb72;322ebe;17;1986
f5fb72;b32b6b;9;1985
f5fb72;e8fd36;15;1985
f5fb72;3132b8;45;1984
f5fb72;58398c;11;1984
f5fb72;68517a;3;1983
f5fb72;2559a7;26;1983
f5fb72;2049a6;7;1983
f5fb72;0f2c81;6;1983
f5fb72;d629a2;1;1983
f5fb72;b72d90;78;1982
f5fb72;547135;56;1982
f5fb72;470680;48;1982
f5fb72;e20128;9;1981
f5fb72;305849;1;1980
f5fb72;7bf2c0;34;1980
f5fb72;05c4a4;3;1979
f5fb72;796aca;14;1979
f5fb72;269751;85;1978
f5fb72;5cae31;0;1978
f5fb72;17fbec;21;1978
f5fb72;c80949;46;1978
f5fb72;30e855;13;1977
f5fb72;b06dd9;40;1976
f5fb72;200514;0;1975
f5fb72;1f40f2;101;1975
f5fb72;e4c1fd;14;1974
f5fb72;edbe21;17;1974
f5fb72;39de32;10;1973
f5fb72;ed488f;25;1973
f5fb72;068fb9;3;1973
f5fb72;9b47cd;5;1973
f5fb72;f97d9a;0;1972
f5fb72;86bfcb;0;1972
f5fb72;5f9ad9;0;1972
f5fb72;62a0b3;0;1972
f5fb72;2c9f4d;3;1971
f5fb72;ae12f6;0;1971
f5fb72;20b764;0;1971
f5fb72;1419d6;0;1971
f5fb72;b0c4c9;7;1971
f5fb72;96a35f;12;1971
f5fb72;2d0a86;7;1971
f5fb72;8470a7;2;1971
f5fb72;345a88;23;1970
f5fb72;5a7c6b;104;1970
f5fb72;e8c06d;14;1970
f5fb72;379f02;15;1969
f5fb72;c5c9c4;12;1969
f5fb72;babda9;0;1969
f5fb72;97cad6;0;1969
f5fb72;b64541;0;1969
f5fb72;870808;14;1968
f5fb72;b0cecb;0;1968
f5fb72;44129d;0;1968
f5fb72;14c2cd;0;1968
f5fb72;892480;73;1967
f5fb72;35af9f;28;1967
f5fb72;ad7c79;0;1967
f5fb72;08acd3;0;1967
f5fb72;ddab14;0;1967
f5fb72;777ef1;24;1967
f5fb72;d717ea;13;1966
f5fb72;6c9130;5;1966
f5fb72;7e2631;98;1966
f5fb72;1a5bc5;13;1966
f5fb72;2ba558;33;1966
f5fb72;a9db49;0;1965
f5fb72;067397;24;1965
f5fb72;edcc23;0;1964
f5fb72;e887e9;3;1963
f5fb72;ad1687;29;1962
f5fb72;942140;46;1961
f5fb72;70ef47;5;1958
f5fb72;c4cffe;45;1957
f5fb72;df284b;20;1957
f5fb72;709cf4;1;1955
f5fb72;35be81;3;1954
f5fb72;ad2fd6;1;1951
